repo_owner_login,repo_name,ecore_file_name,ecore_folder_name
eclipse,xtext,LiveContainerBuilderIntegerationTestLanguage.ecore,resource
eclipse,xtext,Bug301935TestLanguage.ecore,antlr
eclipse,xtext,BacktrackingLexerTestLanguage.ecore,lexer
eclipse,xtext,TestLanguage.ecore,testlanguages
eclipse,xtext,ContentAssistTestLanguage.ecore,generated
eclipse,xtext,FragmentTestLanguage.ecore,fragments
eclipse,xtext,ContentAssistTestLanguage.ecore,generated
eclipse,xtext,HiddenTerminalsTestLanguage.ecore,terminalrules
eclipse,xtext,GH341TestLanguage.ecore,generated
eclipse,xtext,AssignmentFinderTestLanguage.ecore,serializer
eclipse,xtext,MultiGenMMTestLanguage.ecore,tests
eclipse,xtext,Bug302128TestLanguage.ecore,reconstr
eclipse,xtext,ParametersTestLanguage.ecore,parameters
eclipse,xtext,AssignmentsTestLanguage.ecore,assignments
eclipse,xtext,Foo.ecore,xtext
eclipse,xtext,BmTestLanguage.ecore,generated
eclipse,xtext,OutlineTestLanguage.ecore,generated
eclipse,xtext,KeywordsUiTestLanguage.ecore,generated
eclipse,xtext,RefactoringTestLanguage.ecore,generated
eclipse,xtext,BacktrackingBug325745TestLanguage.ecore,unorderedGroups
eclipse,xtext,First.ecore,ecore
eclipse,xtext,UnorderedGroupsTestLanguage.ecore,generated
eclipse,xtext,LazyLinking.ecore,lazy
eclipse,xtext,QuickfixCrossrefTestLanguage.ecore,generated
eclipse,xtext,DummyTestLanguage.ecore,dummy
eclipse,xtext,Bug305397.ecore,impl
eclipse,xtext,ametamodel.ecore,grammarinheritance
eclipse,xtext,WithTransient.ecore,testlanguage
eclipse,xtext,PartialContentAssistTestLanguage.ecore,generated
eclipse,xtext,EcorePerNsURI.ecore,tests
eclipse,xtext,IgnoreCaseLexerTestLanguage.ecore,lexer
eclipse,xtext,HiddenTokenSequencerTestLanguage.ecore,serializer
eclipse,xtext,Xml.ecore,generated
eclipse,xtext,LookaheadTestLanguage.ecore,testlanguages
eclipse,xtext,IndentationAwareTestLanguage.ecore,indent
eclipse,xtext,Bug287184TestLanguage.ecore,assignments
