Repository,ecore,xtext,mwe2
xTextHandler,NO,NO,NO
packtpub-xtext-book-examples,YES,YES,YES
theia-xtext,YES,YES,YES
xtext-lsp-workshop,YES,YES,YES
Xtext-Sirius-integration,YES,YES,YES
Xtext2-DSLs,NO,YES,YES
Xcore,YES,YES,YES
lcdsl,YES,YES,YES
xtext-umbrella,NO,NO,NO
xtext-protected-regions,NO,NO,NO
xtend-gradle-plugin,NO,NO,NO
xtext-maven-examples,NO,YES,YES
xtext-tycho-example,NO,YES,YES
xtext-sandbox,YES,YES,YES
xtext-standalone-maven-build,YES,YES,YES
XText,NO,YES,YES
xtext.tools,NO,NO,NO
xtext-dnn,NO,YES,YES
Xtext2-experiments,YES,YES,YES
xsemantics,YES,YES,YES
xtext-reference-projects,NO,YES,YES
FlatBuffersSchemaEditor,YES,YES,YES
eLang,NO,YES,YES
emt-xtext-archetype,NO,YES,YES
amalgamation-examples-xtext,NO,YES,YES
xtext-experimental,NO,NO,NO
dsl-devkit,YES,YES,YES
generator-xtext,NO,YES,YES
yang-design-studio,YES,YES,YES
xtextadd,YES,YES,YES
edelta,YES,YES,YES
xgherkin,YES,YES,YES
xtext.unittesting,YES,YES,YES
slizaa-opencypher-xtext,NO,YES,YES
cdo-xtext,YES,YES,YES
Xtext-Models-Stats-View,NO,NO,NO
xtext-jflex,NO,NO,NO
eclipse-typescript-xtext,NO,YES,YES
XMLText,NO,NO,NO
org.xtext.antlr.generator,NO,NO,NO
xtext-ide,NO,YES,YES
terminology,NO,YES,YES
veraPDF-model-syntax,NO,YES,YES
languageserver-example,NO,YES,YES
plantuml-eclipse-xtext,NO,YES,YES
JSFLibraryGenerator,YES,YES,YES
jkind-xtext,YES,YES,YES
Xtext2Sonar,NO,NO,NO
xtext-vscode,NO,YES,YES
Xtext-Workshop-Development-Workspace,NO,YES,YES
xtext-uml-example,YES,YES,YES
xtext-maven-example,YES,YES,YES
tptpParser,NO,YES,YES
xtexts,NO,NO,NO
xtext-tortuga-lang,YES,YES,YES
Xtext1-DSLs,NO,YES,YES
applause,YES,YES,YES
