Owner,Repo,Scenario
Bisssen,math_assignment_3_math_compiler_xtext_and_xtend,not applicable
vks2106,domain.model,grammar-driven
metafacture,metafacture-flux,not applicable
mrtnstn,example-script-language,not applicable
Michel-Nassalang,eclipse_workspace,not applicable
varadbal,FunPL,metamodel-driven
oliverablagojevic,QuestionnaireDSL,metamodel-driven
EightPillars,NmtranEditor,grammar-driven
DSIE2,Implementing-observer-design-pattern-with-Xtext-and-Xtend,grammar-driven
George-6629,Lobster-language-conversion-sql-language-based-on-Xtext,grammar-driven
hvbargen,meth,not applicable
mischnic,bachelors-thesis,not applicable
cs130-w22,statemachine,not applicable
cesarlaso,tfm-udima-arquitectura-del-software-dsl-ecore-xtext-emf,metamodel-driven
houssemradhouane,Meta-Modelisation-of-Games-Using-UML-Eclipse-Xtext-Acceleo-JAVA,not applicable
mdsd-team-1,domain-specific-language,grammar-driven
PalladioSimulator,Palladio-Editors-VSCode,not applicable
nils-christian,xtend-active-annotation-issue,not applicable
modicio,feature-dsl-tools,not applicable
HBuender,Aim42Visualizer,not applicable
scanyboss,ide-yourdsl,not applicable
spirvdev,dumpsymb,not applicable
thlaegler,edilang,not applicable
agonzalezgaliana,mydsl-language-server,not applicable
codezork,DSL-Blog,not applicable
LorenzoBettini,issue-2000-example,not applicable
trifonnt,net.adempiere.dsl.properties.spring.parent,grammar-driven
scanyboss,hello-world-language,not applicable
joerg-holtmann,Pretty-Printer_Language-Analysis,not applicable
coffeeframework,HLVL,not applicable
HermanPeeren,eJSL-MPS,not applicable
kukulkan-project,kukulkan-language-server,grammar-driven
mdsd-team-1,dsl-layered-style,not applicable
larissafiorini,t2-lingProg,grammar-driven
ragben,NetzDsl,not applicable
Cosimo5lli,assertx-swing,grammar-driven
gyaltso,Eclipse-Training-Schedules,not applicable
wzurborg,xtend-example,not applicable
kyberszittya,simple-ros-code-generator,metamodel-driven
LinguaPhylo,linguaPhyloDSL,not applicable
dsanmartins,Entidades,not applicable
opcoach,datasample,metamodel-driven
bujosa,smart-dsl,not applicable
robinguill,DSL_UML_INSA,not applicable
DedalArmy,SpringDSLJava,not applicable
LiamWalsh98,tumlrt-language-server,not applicable
jonev,HTTP-REST-test-DSL,grammar-driven
ElBilbao,DSL-Wizard-Creator,metamodel-driven
ooaa30,Wail,grammar-driven
Wilson008,GrammarGenerator,not applicable
ScytherTool,dsl,grammar-driven
NaoMod,MiniTL,not applicable
ryangarvey,mde-spec,grammar-driven
bfMarcelino,SchemeLP,grammar-driven
henriklange,ifcBrickConvert,not applicable
osarenogae,fault_trees_textual_editor,not applicable
