Owner,Repo,XText File,Commit Count
vinisbranco,XtextTrabalho2,org.xtext.example.domainmodel/src/org/xtext/example/domainmodel/Domainmodel.xtext,1
goflyboy,xtextsample,null,null
SharkJ,XtextInheritanceTest,org.xtext.example.mydsl/bin/org/xtext/example/mydsl/MyDsl.xtext,1
SharkJ,XtextInheritanceTest,org.xtext.example.mydsl/bin/org/xtext/example/mydsl/MyDsl2.xtext,1
SharkJ,XtextInheritanceTest,org.xtext.example.mydsl/src/org/xtext/example/mydsl/MyDsl.xtext,1
SharkJ,XtextInheritanceTest,org.xtext.example.mydsl/src/org/xtext/example/mydsl/MyDsl2.xtext,1
OLibutzki,XtextExtras446,de.libutzki.xtextextras446.parent/de.libutzki.xtextextras446/src/de/libutzki/xtextextras446/XtextExtras446.xtext,1
AndreasGroentved,XtextDSL2018,groupDSL/src/dk/sdu/WPage.xtext,20
alvarofpp,tutorial-xtext,null,null
pakhopav,XtextLanguageGradle,src/main/resources/grammars/Terminals.xtext,1
pakhopav,XtextLanguageGradle,src/main/resources/grammars/Xbase.xtext,1
pakhopav,XtextLanguageGradle,src/main/resources/grammars/Xtext.xtext,1
pakhopav,XtextLanguageGradle,src/main/resources/grammars/Xtype.xtext,1
pakhopav,XtextLanguageGradle,src/test/resources/testData/completion/keys/afterMultilineCommentEnd.xtext,1
pakhopav,XtextLanguageGradle,src/test/resources/testData/completion/keys/afterMultilineCommentMiddle.xtext,1
pakhopav,XtextLanguageGradle,src/test/resources/testData/completion/keys/afterRuleDeclarationEnd.xtext,1
pakhopav,XtextLanguageGradle,src/test/resources/testData/completion/keys/afterRuleIdEnd.xtext,1
pakhopav,XtextLanguageGradle,src/test/resources/testData/completion/keys/afterRuleIdMiddle.xtext,1
pakhopav,XtextLanguageGradle,src/test/resources/testData/completion/keys/afterRuleKeyword.xtext,1
pakhopav,XtextLanguageGradle,src/test/resources/testData/completion/keys/afterRuledeclarationMiddle.xtext,1
pakhopav,XtextLanguageGradle,src/test/resources/testData/completion/keys/afterSinglelineCommentEnd.xtext,1
pakhopav,XtextLanguageGradle,src/test/resources/testData/completion/keys/afterWhitespacesEnd1.xtext,1
pakhopav,XtextLanguageGradle,src/test/resources/testData/completion/keys/afterWhitespacesEnd2.xtext,1
pakhopav,XtextLanguageGradle,src/test/resources/testData/completion/keys/afterWhitespacesMiddle1.xtext,1
pakhopav,XtextLanguageGradle,src/test/resources/testData/completion/keys/afterWhitespacesMiddle2.xtext,1
pakhopav,XtextLanguageGradle,src/test/resources/testData/completion/keys/allAfterGrammarIdEnd.xtext,1
