Owner,Repository,Mwe2 Existence
random-eclipse,nix-eclipse-xtext,YES
meta-doodle,Xtext_Gradle_Test,YES
LiamWalsh98,nusmv-xtext-lsp,YES
MaximilianKoestler,vscode-xtext-links,NO
AhmedEssam2212,xText-Editor-,NO
adrinerDP,DSL-with-Xtext,YES
cdietrich,xtext-domainmodel-ls,YES
tmtron,ex.xtext.ml,YES
andrewsandu,xtext-web-example,YES
pngowda,xtext-build-tools,NO
SharkJ,xtext-dsl-sample,YES
hammedb197,team-hacktive-xtext,NO
SimonCockx,xtext-monaco-example,YES
mister-walter,xtext-folding-issue,YES
alexvolh,xtext-xml-grammar,YES
SharkJ,my-theia-xtext,YES
urbanoanderson,xtext-gait-model,YES
vjordan,Xtext_directory-file,YES
JosBouwhuis,xText-DSL,NO
CS130-W20,assignment-2-xtext,NO
lunifera,xtext-jvmtypeprovider-standalone,NO
bobbyfisher1,eclipse-workspace,YES
dsl-course,xtext-entities-tutorial,NO
Highbrainer,xtext-pde-target,NO
mattsse,xtext-fipa-acl,YES
XIECHO,qingo_xtext_documentation,NO
FariSoftware,xtext-problem-matcher,NO
ShrawanBK,xtext.sales.transactions,NO
Lzgpom,xtext-gen-extension,YES
drkstr101,Domainmodel,YES
vinicius0197,expressions-dsl,YES
LorenzoBettini,xtext-xdoc-releases,NO
KarstenWilken,xTextForum,YES
S-wald,xtext-plugin-gradle,YES
lahirugayanga,xtext-example-dsl,YES
cdietrich,xtext-fragment-experiments,YES
cdietrich,xtext_bug_1974,YES
bergmanngabor,xtext-railmap-demo,YES
mchlrch,xtext-intro-bfh,YES
EvdokimovMaks,xtext-example-entities,YES
cipek,MyFirstXText,YES
pngowda,xtext-ci-libs,NO
paulvberlin,BaSiriusXtext,YES
szarnyasg,sql-pgq-xtext,YES
frademacher,xtext-jpms-test,NO
xtext,xtext-monorepo-lfs,NO
LorenzoBettini,xtext-build-utils,YES
cdietrich,xtext-two-dsls,YES
balazsgrill,xtext_bug508518,YES
Tim-S,xtext-valueconverter-example,YES
