Owner Login,Repo Name,XText File Count
Mehmetcanss,example_xtext_language_server_vscode,2
lidochca,xtext.skip.build.before.rename,0
cdietrich,xtext-maven-plugin-coverage-example,1
Kevin-Philip,TP_etudiant_Compilax,1
elite-se,elite-se.xtext.languages.plantuml,1
tshoang,BareBonesIDE,1
tareklel,PDFtoText,0
TVTower,TVTBlitzmaxEditor,2
cdietrich,xtext-multi-dsl-manual-metamodel,4
hallvard,xost,0
davidmpaz,log-book,1
oliver-reinhard,xtext-scoping-default-imports-demo,2
tshoang,Simple-Barebone-XText-based-IDE,1
MISO4202,uniandes.mdd.example.create-xtext,0
NaoMod,XText-Language-Server-in-VSCode,1
MISO4202,xtext-egl-sql2java,2
cdietrich,simple-xtext-parallel-load-example,1
bobbyfisher1,expressions,4
lowcomote,DBML-to-ER,1
tfLabs,xtext-n4js-lsp,1
yishakabreham,mde.sales.transactions.xtext.4,1
Rajesh2015,DSL-using-Xtext-and-Xtend,2
cdietrich,xtext-lsp-tests-with-tycho,1
CarlosAsrc,Reconhecedor-scheme,1
oliver-reinhard,xtext-scoping-default-namespaces-demo,1
TVTower,TVTDatabaseEditor,1
casino-mdd,DSL,2
cokeSchlumpf,bashdsl,2
sumeetchhetri,faugjs-eclipse-plugin,1
sderrien,Uclid-editor,2
GlancingMind,xtext-lsp-missing-deleteFile-impl,1
zmy3036190149,theia-xtext-pf-v1-backup,2
MDSDLab,mdsd-2023-lab2-xtext-xtend,1
abieren,MDSD-Xtext-Project-for-JavaFX,2
SimonCockx,xtext-assertAllWhitespaceIsFormatted,2
tombk556,SF_Factories_Beleg2324_Xtext_DSL,2
DonatasC,CodeGeneration,0
trichterwolke,init,1
zs6jce,x400-xrpgle,0
cyrilnavessamuel,TripManagment,2
paullewallencom,xtext-xtend-978-1-7864-6496-5,11
coalae,telemed,1
vorburger,xtend-StackOverflowError-issue461,0
JoaoMAlmeida,projetoCompiladores18-2,1
Bisssen,math_assignment_3_math_compiler_xtext_and_xtend,1
vks2106,domain.model,2
metafacture,metafacture-flux,1
mrtnstn,example-script-language,1
Michel-Nassalang,eclipse_workspace,16
varadbal,FunPL,2
oliverablagojevic,QuestionnaireDSL,2
EightPillars,NmtranEditor,1
DSIE2,Implementing-observer-design-pattern-with-Xtext-and-Xtend,2
George-6629,Lobster-language-conversion-sql-language-based-on-Xtext,2
hvbargen,meth,2
mischnic,bachelors-thesis,0
cs130-w22,statemachine,1
cesarlaso,tfm-udima-arquitectura-del-software-dsl-ecore-xtext-emf,5
houssemradhouane,Meta-Modelisation-of-Games-Using-UML-Eclipse-Xtext-Acceleo-JAVA,1
mdsd-team-1,domain-specific-language,2
PalladioSimulator,Palladio-Editors-VSCode,0
nils-christian,xtend-active-annotation-issue,0
modicio,feature-dsl-tools,1
HBuender,Aim42Visualizer,1
scanyboss,ide-yourdsl,0
spirvdev,dumpsymb,0
thlaegler,edilang,1
agonzalezgaliana,mydsl-language-server,0
codezork,DSL-Blog,1
LorenzoBettini,issue-2000-example,1
trifonnt,net.adempiere.dsl.properties.spring.parent,1
scanyboss,hello-world-language,0
joerg-holtmann,Pretty-Printer_Language-Analysis,20
coffeeframework,HLVL,2
HermanPeeren,eJSL-MPS,0
kukulkan-project,kukulkan-language-server,1
mdsd-team-1,dsl-layered-style,0
larissafiorini,t2-lingProg,2
ragben,NetzDsl,0
Cosimo5lli,assertx-swing,1
gyaltso,Eclipse-Training-Schedules,0
wzurborg,xtend-example,1
kyberszittya,simple-ros-code-generator,2
LinguaPhylo,linguaPhyloDSL,2
dsanmartins,Entidades,2
opcoach,datasample,1
bujosa,smart-dsl,2
robinguill,DSL_UML_INSA,1
DedalArmy,SpringDSLJava,0
LiamWalsh98,tumlrt-language-server,1
jonev,HTTP-REST-test-DSL,1
ElBilbao,DSL-Wizard-Creator,2
ooaa30,Wail,2
Wilson008,GrammarGenerator,0
ScytherTool,dsl,1
NaoMod,MiniTL,1
ryangarvey,mde-spec,1
bfMarcelino,SchemeLP,2
henriklange,ifcBrickConvert,0
osarenogae,fault_trees_textual_editor,2
claudenirmf,TPTP-Editor,1
augustin-rialan,IDM,2
henriklange,ifcBrickConvertDsl,2
PikaQin,XModel-Code-Converter,2
helloyaqin,XModel-Code-Converter,2
Garlo13,CEPStaticAnalysis,2
Frederic-Boulanger-UPS,MiniARM-feature,1
Jaddison011,C4EventB,1
MDEGroup,metatemplating,1
abdullah-4Mohammed,AWS-EC2-Service_DSL-EMF,0
grammeaway,math-interpreter-dsl,2
ahmedsaleh1998,concept_project,0
Chaimaa-Louahabi,Model-Driven-Engineering,2
fayssalElAnsari,Kotlin-Meta-Model,1
MisbahAwan,SeamlessRuntimeTransformations,2
ProjetoDSL,CanopusDesign,0
Ryuzaki101,Workbench,1
eclipse,xtext,4
eclipse,xtext-core,151
eclipse,xtext-xtend,1
eclipse,xtext-eclipse,59
eclipse,xtext-extras,18
eclipse,xtext-web,2
xtext,seven-languages-xtext,7
eclipse,xtext-maven,0
