LorenzoBettini,issue-2000-example,0,0.00
trifonnt,net.adempiere.dsl.properties.spring.parent,0,0.00
scanyboss,hello-world-language,0
joerg-holtmann,Pretty-Printer_Language-Analysis,13,1.00
coffeeframework,HLVL,22,1.00
HermanPeeren,eJSL-MPS,0
kukulkan-project,kukulkan-language-server,0,0.00
mdsd-team-1,dsl-layered-style,0
larissafiorini,t2-lingProg,0,0.00
ragben,NetzDsl,0
Cosimo5lli,assertx-swing,0,0.00
gyaltso,Eclipse-Training-Schedules,0
wzurborg,xtend-example,0,0.00
kyberszittya,simple-ros-code-generator,1,2.00
LinguaPhylo,linguaPhyloDSL,0,0.00
dsanmartins,Entidades,0,0.00
opcoach,datasample,0,0.00
bujosa,smart-dsl,8,3.38
robinguill,DSL_UML_INSA,0,0.00
DedalArmy,SpringDSLJava,0
LiamWalsh98,tumlrt-language-server,3,2.33
jonev,HTTP-REST-test-DSL,1,1.00
ElBilbao,DSL-Wizard-Creator,0,0.00
ooaa30,Wail,0,0.00
Wilson008,GrammarGenerator,0
ScytherTool,dsl,0,0.00
NaoMod,MiniTL,2,1.50
ryangarvey,mde-spec,1,1.00
bfMarcelino,SchemeLP,0,0.00
henriklange,ifcBrickConvert,0
osarenogae,fault_trees_textual_editor,0,0.00
claudenirmf,TPTP-Editor,3,2.33
augustin-rialan,IDM,0,0.00
henriklange,ifcBrickConvertDsl,0,0.00
PikaQin,XModel-Code-Converter,0,0.00
helloyaqin,XModel-Code-Converter,0,0.00
Garlo13,CEPStaticAnalysis,0,0.00
Frederic-Boulanger-UPS,MiniARM-feature,3,1.67
Jaddison011,C4EventB,0,0.00
MDEGroup,metatemplating,0,0.00
abdullah-4Mohammed,AWS-EC2-Service_DSL-EMF,0
grammeaway,math-interpreter-dsl,0,0.00
ahmedsaleh1998,concept_project,0
Chaimaa-Louahabi,Model-Driven-Engineering,0
fayssalElAnsari,Kotlin-Meta-Model,3,1.33
MisbahAwan,SeamlessRuntimeTransformations,0,0.00
ProjetoDSL,CanopusDesign,0
Ryuzaki101,Workbench,412,1.00
eclipse,xtext,0,0.00
eclipse,xtext-core,151,2.24
eclipse,xtext-xtend,663,3.40
eclipse,xtext-eclipse,5,1.00
eclipse,xtext-extras,0,0.00
eclipse,xtext-web,0,0.00
xtext,seven-languages-xtext,12,3.42
eclipse,xtext-maven,0
eclipse,xtext-lib,0
xtext,maven-xtext-example,2,3.00
seebk,LaTeXText,0
cdietrich,xtext-languageserver-example,2,2.00
eclipse,xtext-idea,0
adamschmideg,coffeescript-eclipse,0,0.00
RvonMassow,xDoc,23,3.09
xtext,xtext-gradle-plugin,0
LorenzoBettini,packtpub-xtext-book-2nd-examples,7,1.00
PrinceMei,xTextHandler,0
LorenzoBettini,packtpub-xtext-book-examples,2,1.00
theia-ide,theia-xtext,0,0.00
svenefftinge,xtext-lsp-workshop,6,1.17
ObeoNetwork,Xtext-Sirius-integration,0,0.00
dslmeinte,Xtext2-DSLs,9,1.00
merks,Xcore,37,1.81
ssi-schaefer,lcdsl,0,0.00
eclipse,xtext-umbrella,0
danieldietrich,xtext-protected-regions,0
xtext,xtend-gradle-plugin,0
aphethean,xtext-maven-examples,1,2.00
ckulla,xtext-tycho-example,2,1.50
vorburger,xtext-sandbox,1,2.00
basilfx,xtext-standalone-maven-build,0,0.00
JakeGinnivan,XText,0
OLibutzki,xtext.tools,0
Xpitfire,xtext-dnn,2,8.50
LorenzoBettini,Xtext2-experiments,0,0.00
eclipse,xsemantics,27,1.19
xtext,xtext-reference-projects,0,0.00
mzaks,FlatBuffersSchemaEditor,0,0.00
vorburger,eLang,0,0.00
fuinorg,emt-xtext-archetype,0,0.00
eclipse-soc,amalgamation-examples-xtext,1,1.00
kthoms,xtext-experimental,0
dsldevkit,dsl-devkit,8,1.00
itemis,generator-xtext,0,0.00
att,yang-design-studio,1,1.00
martinbaker,xtextadd,0,0.00
LorenzoBettini,edelta,44,4.48
sebastianbenz,xgherkin,4,1.00
vladdu,xtext.unittesting,3,2.00
slizaa,slizaa-opencypher-xtext,0,0.00
xpomul,cdo-xtext,0,0.00
mark-christiaens,Xtext-Models-Stats-View,0
TypeFox,xtext-jflex,0
vorburger,eclipse-typescript-xtext,7,1.86
patrickneubauer,XMLText,0
xtext,org.xtext.antlr.generator,0
boalang,xtext-ide,0,0.00
nittka,terminology,6,1.17
veraPDF,veraPDF-model-syntax,0,0.00
TypeFox,languageserver-example,0,0.00
Hellmy,plantuml-eclipse-xtext,0,0.00
stephanrauh,JSFLibraryGenerator,1,16.00
loonwerks,jkind-xtext,0,0.00
TatyPerson,Xtext2Sonar,0
TypeFox,xtext-vscode,0,0.00
svenefftinge,Xtext-Workshop-Development-Workspace,0,0.00
cdietrich,xtext-uml-example,0,0.00
cdietrich,xtext-maven-example,0,0.00
marklemay,tptpParser,0,0.00
borgar,xtexts,0
uqbar-project,xtext-tortuga-lang,0,0.00
dslmeinte,Xtext1-DSLs,5,1.40
applause,applause,0,0.00
LorenzoBettini,ecefrance2015-xtext-example,0,0.00
jcmm33,DirectXTextBlock,0
dhuebner,xtext-apidiff,0
appdev,XTextView,0
oehme,xtext-maven-example,2,1.00
SMadani,ThriftMDE,0
xtext,xtext-external-editors,0
itemis,xtext-generator-vscode,0,0.00
soluvas,ecommerce-sample,0
tianguanghui,xTextHandler-objc,0
meysholdt,xtext_stateful_lexer,0,0.00
holgerschill,XtextCon_Xcore_Maven,0,0.00
scottopell,vim-xtext,0,0.00
itemis,xtext-debug-example-no-xbase,0,0.00
TypeFox,Xtext-XMI,0,0.00
joergreichert,XtextPlayground,1,2.00
wuwen1030,XTExtension,0
fuinorg,org.fuin.dsl.cqrs,1,2.00
JanKoehnlein,EclipseCon2013_XtextTutorial,3,1.67
avaranovich,megal-xtext,21,6.38
fuinorg,org.fuin.dsl.ddd,24,2.58
arturboronat,xtext.domainmodel,1,1.00
otrosien,xtext-perl,0,0.00
cmendible,Hexa.xText,0
SciSpike,yaktor-dsl-xtext,5,3.20
andrearn,org.fornax.soa.xtextservicerepository,50,2.24
ujhelyiz,xtext-reflective,0
szarnekow,xtextcon-xbase-example,2,2.50
bsi-software,org.eclipse.scout.xtext,7,4.14
cdietrich,xtext-languageserver-xbase-example,2,1.50
test-editor,deprecated-test-editor-xtext,37,5.38
awk-kazmin,eclipse_1C_xtext,0,0.00
svenefftinge,fowlers-statemachine-with-expressions,0,0.00
copton,XTextExamples,0,0.00
GeekBugs,XTextView,0
akosyakov,org.xtext.example.mydsl.idea,7,1.00
vaulttec,isis-script,4,3.00
HBehrens,Xtext2Workshop,0
GrupoHunter,Kukuroo,0,0.00
itemis,xtext-languageserver-example-lsp4e,0
fatalerrortan,Xtext_Xtend_HTML_Generator,2,3.00
spoenemann,xtext-gef,0,0.00
Minres,RDL-Editor,0,0.00
svenefftinge,Guice-Modules-DSL,0,0.00
LorenzoBettini,jbase,7,1.00
mn-mikke,Model-driven-Pretty-Printer-for-Xtext-Framework,103,1.00
hishidama,xtext-dmdl-editor,0,0.00
