Repository,ecore_count,result
Kotlin-Meta-Model,1,Metamodel-Driven
SeamlessRuntimeTransformations,1,Grammar-Driven
CanopusDesign,0,null
Workbench,7,TBD
xtext,0,null
xtext-core,132,TBD
xtext-xtend,2,Metamodel-Driven
xtext-eclipse,61,TBD
xtext-extras,25,TBD
xtext-web,0,null
seven-languages-xtext,7,Grammar-Driven
xtext-maven,1,Grammar-Driven
xtext-lib,0,null
maven-xtext-example,0,null
LaTeXText,0,null
xtext-languageserver-example,0,null
xtext-idea,0,null
coffeescript-eclipse,0,null
xDoc,2,Metamodel-Driven
xtext-gradle-plugin,0,null
packtpub-xtext-book-2nd-examples,2,Metamodel-Driven
xTextHandler,0,null
packtpub-xtext-book-examples,6,Grammar-Driven
theia-xtext,1,Grammar-Driven
xtext-lsp-workshop,1,Grammar-Driven
Xtext-Sirius-integration,11,TBD
Xtext2-DSLs,0,null
Xcore,1,Metamodel-Driven
lcdsl,1,Grammar-Driven
xtext-umbrella,0,null
xtext-protected-regions,0,null
xtend-gradle-plugin,0,null
xtext-maven-examples,0,null
xtext-tycho-example,0,null
xtext-sandbox,4,Grammar-Driven
xtext-standalone-maven-build,1,Grammar-Driven
XText,0,null
xtext.tools,0,null
xtext-dnn,0,null
Xtext2-experiments,4,Metamodel-Driven
xsemantics,1,Metamodel-Driven
xtext-reference-projects,0,null
FlatBuffersSchemaEditor,1,Grammar-Driven
eLang,0,null
emt-xtext-archetype,0,null
amalgamation-examples-xtext,0,null
xtext-experimental,0,null
dsl-devkit,14,TBD
generator-xtext,0,null
yang-design-studio,3,TBD
xtextadd,5,Grammar-Driven
edelta,304,Metamodel-Driven
xgherkin,1,Metamodel-Driven
xtext.unittesting,1,Grammar-Driven
slizaa-opencypher-xtext,0,null
cdo-xtext,1,Metamodel-Driven
Xtext-Models-Stats-View,0,null
xtext-jflex,0,null
eclipse-typescript-xtext,0,null
XMLText,0,null
org.xtext.antlr.generator,0,null
xtext-ide,0,null
terminology,0,null
veraPDF-model-syntax,0,null
languageserver-example,0,null
plantuml-eclipse-xtext,0,null
JSFLibraryGenerator,1,Grammar-Driven
jkind-xtext,1,Grammar-Driven
Xtext2Sonar,0,null
xtext-vscode,0,null
Xtext-Workshop-Development-Workspace,0,null
xtext-uml-example,1,Grammar-Driven
xtext-maven-example,2,Grammar-Driven
tptpParser,0,null
xtexts,0,null
xtext-tortuga-lang,1,Grammar-Driven
Xtext1-DSLs,0,null
applause,1,Grammar-Driven
ecefrance2015-xtext-example,0,null
DirectXTextBlock,0,null
xtext-apidiff,0,null
XTextView,0,null
xtext-maven-example,2,Grammar-Driven
ThriftMDE,1,Metamodel-Driven
xtext-external-editors,0,null
xtext-generator-vscode,1,Grammar-Driven
ecommerce-sample,0,null
xTextHandler-objc,0,null
xtext_stateful_lexer,0,null
XtextCon_Xcore_Maven,3,TBD
vim-xtext,0,null
xtext-debug-example-no-xbase,0,null
Xtext-XMI,1,Metamodel-Driven
XtextPlayground,0,null
XTExtension,0,null
org.fuin.dsl.cqrs,1,Grammar-Driven
EclipseCon2013_XtextTutorial,1,Metamodel-Driven
megal-xtext,1,Metamodel-Driven
org.fuin.dsl.ddd,0,null
xtext.domainmodel,1,Grammar-Driven
xtext-perl,1,Grammar-Driven
Hexa.xText,0,null
yaktor-dsl-xtext,6,Metamodel-Driven
org.fornax.soa.xtextservicerepository,4,Grammar-Driven
xtext-reflective,0,null
xtextcon-xbase-example,1,Grammar-Driven
org.eclipse.scout.xtext,1,Metamodel-Driven
xtext-languageserver-xbase-example,0,null
deprecated-test-editor-xtext,0,null
eclipse_1C_xtext,2,TBD
fowlers-statemachine-with-expressions,1,Metamodel-Driven
XTextExamples,2,Grammar-Driven
XTextView,0,null
org.xtext.example.mydsl.idea,3,TBD
isis-script,0,null
Xtext2Workshop,0,null
Kukuroo,1,Grammar-Driven
xtext-languageserver-example-lsp4e,0,null
Xtext_Xtend_HTML_Generator,1,Grammar-Driven
xtext-gef,1,Grammar-Driven
RDL-Editor,0,null
Guice-Modules-DSL,1,Metamodel-Driven
jbase,1,Metamodel-Driven
Model-driven-Pretty-Printer-for-Xtext-Framework,7,Metamodel-Driven
xtext-dmdl-editor,1,Metamodel-Driven
androtext,0,null
homeautomation-example,1,Grammar-Driven
graphQL-xtext-grammar,0,null
frege-xtext,0,null
org.eclipse.e4.xcss,0,null
xtext-scoping,1,Metamodel-Driven
ESE-2010-Tutorial,1,Metamodel-Driven
xtext-orion,1,Grammar-Driven
xtext-expressions,0,null
Jtag,0,null
erlide_xtext,2,Metamodel-Driven
xtext-forum-support-example,0,null
Langage-WHILE,1,Grammar-Driven
gen-angular-grammar,1,Grammar-Driven
tutorialXtextSirius,0,null
amalgamation-examples,2,Metamodel-Driven
xtext-xsd-resourceprovider,0,null
metamath-eclipse-xtext,0,null
Xtext-Syntax-View,0,null
xtext-uml-experiment,0,null
ck2xtext,2,Grammar-Driven
petrinet_dsl,1,Metamodel-Driven
xtext,0,null
Xtext-Workshop-Runtime-Workspace,0,null
XtextXT,0,null
xtextTessla,1,Grammar-Driven
xtextLearning,0,null
XtextBDI,1,Grammar-Driven
XtextExperiments,1,Grammar-Driven
XTextSelenium,1,Grammar-Driven
xtextScopes,1,Grammar-Driven
XTextUML,1,Grammar-Driven
XtextUtils,0,null
XtextApricot,1,Grammar-Driven
xtextTests,0,null
XtextLangage,0,null
XTextParser,0,null
XTextView,0,null
xtextSample,0,null
XtextExamples,2,Grammar-Driven
XTextStudy,1,Grammar-Driven
XTextTemplate,0,null
Xtext1,1,Metamodel-Driven
