oliver-reinhard,xtext-ppt-demo,5,5,1.0
tpluscode,xtext-completion-nullpointer,0,0,0
idiomaticsoft,sbt-xtext-plugin,0,0,0
pen-zhang,online_elm_xtext,0,0,0
raglu,ExternalDSL-xtext,0,0,0
kulcsii,xtext-railmap-theia,1,1,1.0
NiccoMlt,xtext-showdown-grammar,0,0,0
NinjaArmy,xtext-language-server,0,0,0
jnt0r,xtext-npe-reproducable,0,0,0
HermanPeeren,eJSL-ANTLR4,0,0,0
cs130-w21,statemachine,2,2,1.0
csbc92,MDSE-assignment3,1,7,7.0
ghillairet,org.example.mydsl.parent,0,0,0
antoine-morvan,caph-java-parser,125,125,1.0
abatti,XTEXT_FACPL3_PreserveVarious,0,0,0
tfLabs,xtext-languageserver-example-duplicator,2,2,1.0
LorenzoBettini,xtext-maven-plugin-example,2,2,1.0
cdietrich,xtext-eclipse-issue-1009,0,0,0
patrickneubauer,UoY-MODE-XTEXT,2,2,1.0
cau-se,sprat-ecosystem-dsl-xtext,0,0,0
cdietrich,theia-xtext-vscode-example,0,0,0
cdietrich,j9-tycho-xtext,0,0,0
loradd,xtext-lsp-ecore-support,1,1,1.0
nnn911,LaTeXTextOverlay,0,0,0
IbanezGio,VuC,0,0,0
Samirez,DSLs,0,0,0
ShahimEssaid,com.essaid.model.xtext,0,0,0
gon10,EclipseRepoTese,6,7,1.17
max-leuthaeuser,jmhmathexample,0,0,0
tshoang,WhitespaceIDE,3,3,1.0
seebgar,MISO4202-proyecto-xtext,0,0,0
NiccoMlt,xtext-15-minutes-tutorial,4,5,1.25
SharkJ,theia-xtext-extension-test,1,1,1.0
jku-win-se,JsonBasedXtextGrammar,0,0,0
altran-mde,xtext-sirius-integration.io,0,0,0
cdietrich,xtext-core-issue-1835,0,0,0
Zaki-Fadlan,xtext_getting_started_skilledup,8,8,1.0
raptor494,Xtext-Minecraft-JSON-Languages,0,0,0
rudi,xtext-emacs-lsp-demo,2,3,1.5
fedorov-vk,apds_prototype,0,0,0
test-editor,test-editor-xtext-gradle,0,0,0
Ixgauth,perspectiveDSL-Sirus-Xtext,0,0,0
keve98,SzakD_xtext_xtend,0,0,0
silvergl,xtext-headless-rcp-example,0,0,0
reinaqu,bpmnFromXtextDSL,0,0,0
xtext,xtext-p2-orbit,0,0,0
dsl-course,xtext-tutorial-turku-interim,0,0,0
tfLabs,xtext-lsp-validation-anyway,2,2,1.0
BalzGuenat,xtext-bug-minimal-example,0,0,0
dmfullstack,org.xtext.example.mydsl,0,0,0
SuelanyBrito,JFlex_CUP_XText_SQL,0,0,0
cdietrich,xtext-languageserver-example-simple,2,2,1.0
msntts,Xtext-Standalone-fat-jar,0,0,0
oldulov,cfeditor,0,0,0
LorenzoBettini,xtext-type-errors-examples,0,0,0
claudenirmf,OntoUML-2.0-Xtext,0,0,0
Mehmetcanss,example_xtext_language_server_vscode,0,0,0
lidochca,xtext.skip.build.before.rename,0,0,0
cdietrich,xtext-maven-plugin-coverage-example,2,2,1.0
Kevin-Philip,TP_etudiant_Compilax,112,174,1.55
elite-se,elite-se.xtext.languages.plantuml,23,51,2.22
tshoang,BareBonesIDE,0,0,0
tareklel,PDFtoText,0,0,0
TVTower,TVTBlitzmaxEditor,0,0,0
cdietrich,xtext-multi-dsl-manual-metamodel,0,0,0
hallvard,xost,0,0,0
davidmpaz,log-book,0,0,0
oliver-reinhard,xtext-scoping-default-imports-demo,0,0,0
tshoang,Simple-Barebone-XText-based-IDE,0,0,0
MISO4202,uniandes.mdd.example.create-xtext,0,0,0
NaoMod,XText-Language-Server-in-VSCode,1,1,1.0
MISO4202,xtext-egl-sql2java,1,1,1.0
cdietrich,simple-xtext-parallel-load-example,4,4,1.0
bobbyfisher1,expressions,1,2,2.0
lowcomote,DBML-to-ER,43,43,1.0
tfLabs,xtext-n4js-lsp,2,2,1.0
yishakabreham,mde.sales.transactions.xtext.4,2,2,1.0
Rajesh2015,DSL-using-Xtext-and-Xtend,2,2,1.0
cdietrich,xtext-lsp-tests-with-tycho,0,0,0
CarlosAsrc,Reconhecedor-scheme,0,0,0
oliver-reinhard,xtext-scoping-default-namespaces-demo,4,4,1.0
TVTower,TVTDatabaseEditor,15,38,2.53
casino-mdd,DSL,1,11,11.0
cokeSchlumpf,bashdsl,0,0,0
sumeetchhetri,faugjs-eclipse-plugin,3,4,1.33
sderrien,Uclid-editor,51,51,1.0
GlancingMind,xtext-lsp-missing-deleteFile-impl,0,0,0
zmy3036190149,theia-xtext-pf-v1-backup,28,28,1.0
MDSDLab,mdsd-2023-lab2-xtext-xtend,11,11,1.0
abieren,MDSD-Xtext-Project-for-JavaFX,0,0,0
SimonCockx,xtext-assertAllWhitespaceIsFormatted,0,0,0
tombk556,SF_Factories_Beleg2324_Xtext_DSL,0,0,0
DonatasC,CodeGeneration,0,0,0
trichterwolke,init,0,0,0
zs6jce,x400-xrpgle,0,0,0
cyrilnavessamuel,TripManagment,1,1,1.0
paullewallencom,xtext-xtend-978-1-7864-6496-5,7,7,1.0
coalae,telemed,1,1,1.0
vorburger,xtend-StackOverflowError-issue461,0,0,0
JoaoMAlmeida,projetoCompiladores18-2,0,0,0
Bisssen,math_assignment_3_math_compiler_xtext_and_xtend,0,0,0
vks2106,domain.model,0,0,0
metafacture,metafacture-flux,0,0,0
mrtnstn,example-script-language,0,0,0
Michel-Nassalang,eclipse_workspace,2,2,1.0
varadbal,FunPL,0,0,0
oliverablagojevic,QuestionnaireDSL,0,0,0
EightPillars,NmtranEditor,76,76,1.0
DSIE2,Implementing-observer-design-pattern-with-Xtext-and-Xtend,0,0,0
George-6629,Lobster-language-conversion-sql-language-based-on-Xtext,0,0,0
hvbargen,meth,2,2,1.0
mischnic,bachelors-thesis,0,0,0
cs130-w22,statemachine,2,2,1.0
cesarlaso,tfm-udima-arquitectura-del-software-dsl-ecore-xtext-emf,10,10,1.0
houssemradhouane,Meta-Modelisation-of-Games-Using-UML-Eclipse-Xtext-Acceleo-JAVA,0,0,0
mdsd-team-1,domain-specific-language,6,6,1.0
PalladioSimulator,Palladio-Editors-VSCode,0,0,0
nils-christian,xtend-active-annotation-issue,0,0,0
modicio,feature-dsl-tools,1,2,2.0
HBuender,Aim42Visualizer,0,0,0
scanyboss,ide-yourdsl,0,0,0
spirvdev,dumpsymb,0,0,0
thlaegler,edilang,7,10,1.43
agonzalezgaliana,mydsl-language-server,0,0,0
codezork,DSL-Blog,0,0,0
LorenzoBettini,issue-2000-example,0,0,0
trifonnt,net.adempiere.dsl.properties.spring.parent,0,0,0
scanyboss,hello-world-language,0,0,0
joerg-holtmann,Pretty-Printer_Language-Analysis,13,13,1.0
coffeeframework,HLVL,22,22,1.0
HermanPeeren,eJSL-MPS,0,0,0
kukulkan-project,kukulkan-language-server,0,0,0
mdsd-team-1,dsl-layered-style,0,0,0
larissafiorini,t2-lingProg,0,0,0
ragben,NetzDsl,0,0,0
Cosimo5lli,assertx-swing,0,0,0
gyaltso,Eclipse-Training-Schedules,0,0,0
wzurborg,xtend-example,0,0,0
kyberszittya,simple-ros-code-generator,4,9,2.25
LinguaPhylo,linguaPhyloDSL,0,0,0
dsanmartins,Entidades,0,0,0
opcoach,datasample,0,0,0
bujosa,smart-dsl,8,27,3.38
robinguill,DSL_UML_INSA,0,0,0
DedalArmy,SpringDSLJava,0,0,0
LiamWalsh98,tumlrt-language-server,3,7,2.33
jonev,HTTP-REST-test-DSL,1,1,1.0
ElBilbao,DSL-Wizard-Creator,0,0,0
ooaa30,Wail,0,0,0
Wilson008,GrammarGenerator,0,0,0
ScytherTool,dsl,0,0,0
NaoMod,MiniTL,2,3,1.5
ryangarvey,mde-spec,1,1,1.0
bfMarcelino,SchemeLP,0,0,0
henriklange,ifcBrickConvert,0,0,0
osarenogae,fault_trees_textual_editor,0,0,0
claudenirmf,TPTP-Editor,0,0,0
augustin-rialan,IDM,0,0,0
henriklange,ifcBrickConvertDsl,0,0,0
PikaQin,XModel-Code-Converter,0,0,0
helloyaqin,XModel-Code-Converter,0,0,0
Garlo13,CEPStaticAnalysis,0,0,0
Frederic-Boulanger-UPS,MiniARM-feature,3,5,1.67
Jaddison011,C4EventB,0,0,0
MDEGroup,metatemplating,0,0,0
abdullah-4Mohammed,AWS-EC2-Service_DSL-EMF,0,0,0
grammeaway,math-interpreter-dsl,0,0,0
ahmedsaleh1998,concept_project,0,0,0
Chaimaa-Louahabi,Model-Driven-Engineering,0,0,0
fayssalElAnsari,Kotlin-Meta-Model,3,4,1.33
MisbahAwan,SeamlessRuntimeTransformations,0,0,0
ProjetoDSL,CanopusDesign,0,0,0
Ryuzaki101,Workbench,412,412,1.0
eclipse,xtext,1067,4020,3.77
eclipse,xtext-core,151,338,2.24
eclipse,xtext-xtend,663,2256,3.4
eclipse,xtext-eclipse,5,5,1.0
eclipse,xtext-extras,0,0,0
eclipse,xtext-web,5,5,1.0
xtext,seven-languages-xtext,12,41,3.42
eclipse,xtext-maven,0,0,0
eclipse,xtext-lib,0,0,0
xtext,maven-xtext-example,2,6,3.0
seebk,LaTeXText,0,0,0
cdietrich,xtext-languageserver-example,2,4,2.0
eclipse,xtext-idea,0,0,0
adamschmideg,coffeescript-eclipse,0,0,0
RvonMassow,xDoc,23,71,3.09
xtext,xtext-gradle-plugin,0,0,0
LorenzoBettini,packtpub-xtext-book-2nd-examples,7,7,1.0
PrinceMei,xTextHandler,0,0,0
LorenzoBettini,packtpub-xtext-book-examples,2,2,1.0
theia-ide,theia-xtext,2,2,1.0
svenefftinge,xtext-lsp-workshop,6,7,1.17
ObeoNetwork,Xtext-Sirius-integration,0,0,0
dslmeinte,Xtext2-DSLs,9,9,1.0
merks,Xcore,37,67,1.81
ssi-schaefer,lcdsl,0,0,0
eclipse,xtext-umbrella,0,0,0
danieldietrich,xtext-protected-regions,0,0,0
xtext,xtend-gradle-plugin,0,0,0
aphethean,xtext-maven-examples,1,2,2.0
ckulla,xtext-tycho-example,2,3,1.5
vorburger,xtext-sandbox,6,16,2.67
basilfx,xtext-standalone-maven-build,0,0,0
JakeGinnivan,XText,0,0,0
OLibutzki,xtext.tools,0,0,0
Xpitfire,xtext-dnn,2,17,8.5
LorenzoBettini,Xtext2-experiments,0,0,0
eclipse,xsemantics,27,32,1.19
xtext,xtext-reference-projects,0,0,0
