Repository Name,MWE2 File Count,Found Extensions
larissafiorini/t2-lingProg,2,"mydsl"
ragben/NetzDsl,0,""
Cosimo5lli/assertx-swing,1,"assertxs"
gyaltso/Eclipse-Training-Schedules,0,""
wzurborg/xtend-example,1,"mydsl"
kyberszittya/simple-ros-code-generator,1,"hybridbehavior,rosnetwork"
LinguaPhylo/linguaPhyloDSL,2,"lphy"
dsanmartins/Entidades,2,"entidades"
opcoach/datasample,1,"datasample"
bujosa/smart-dsl,2,"contract"
robinguill/DSL_UML_INSA,1,"uml"
DedalArmy/SpringDSLJava,0,""
LiamWalsh98/tumlrt-language-server,1,"mydsl"
jonev/HTTP-REST-test-DSL,1,"testsuite"
ElBilbao/DSL-Wizard-Creator,2,"wiz"
ooaa30/Wail,2,"wail"
Wilson008/GrammarGenerator,0,""
ScytherTool/dsl,1,"spdl"
NaoMod/MiniTL,1,"minitl"
ryangarvey/mde-spec,1,"spec"
bfMarcelino/SchemeLP,2,"mydsl"
henriklange/ifcBrickConvert,0,""
osarenogae/fault_trees_textual_editor,2,"faulttree"
claudenirmf/TPTP-Editor,1,"p"
augustin-rialan/IDM,2,"qcm"
henriklange/ifcBrickConvertDsl,2,"ifc"
PikaQin/XModel-Code-Converter,2,"xmodel"
helloyaqin/XModel-Code-Converter,2,"xmodel"
Garlo13/CEPStaticAnalysis,2,"esper"
Frederic-Boulanger-UPS/MiniARM-feature,1,"arm"
Jaddison011/C4EventB,1,"c"
MDEGroup/metatemplating,1,"mt"
abdullah-4Mohammed/AWS-EC2-Service_DSL-EMF,0,""
grammeaway/math-interpreter-dsl,2,"mydsl"
ahmedsaleh1998/concept_project,0,""
Chaimaa-Louahabi/Model-Driven-Engineering,0,""
fayssalElAnsari/Kotlin-Meta-Model,1,"kt"
MisbahAwan/SeamlessRuntimeTransformations,2,"myzdsl"
ProjetoDSL/CanopusDesign,0,""
Ryuzaki101/Workbench,1,"mic"
eclipse/xtext,34,"___singlecodetemplate,buildertestlanguage,calc,codetemplates,dmodel,ecore2xtexttest,entities,indentationAwareUiTestLang,mydsl,nestedRefs,nojdt,partialcontentassisttestlang,pstl,renametl,rules,simplexml,statemachine,testlang,testlangext,typesAssistTest,typesRefactoring,typesRefactoring1,typesRefactoring2,xbase,xtend,xtext,xtext2,xtextgrammar"
eclipse/xtext-core,20,"indentationAwareUiTestLang,mydsl,nestedRefs,nojdt,partialcontentassisttestlang,pstl,renametl,testlang,testlangext,xtext,xtext2,xtextgrammar"
eclipse/xtext-xtend,1,"xtend"
eclipse/xtext-eclipse,9,"___singlecodetemplate,buildertestlanguage,calc,codetemplates,dmodel,ecore2xtexttest,rules,simplexml,statemachine,typesAssistTest,typesRefactoring,typesRefactoring1,typesRefactoring2"
eclipse/xtext-extras,2,"typesAssistTest,typesRefactoring,typesRefactoring1,typesRefactoring2,xbase"
eclipse/xtext-web,2,"entities,statemachine"
xtext/seven-languages-xtext,7,"build,guice,mongo,route,script,template,tortoiseshell"
eclipse/xtext-maven,0,""
eclipse/xtext-lib,0,""
xtext/maven-xtext-example,1,"hero"
seebk/LaTeXText,0,""
cdietrich/xtext-languageserver-example,1,"mydsl"
eclipse/xtext-idea,0,""
adamschmideg/coffeescript-eclipse,2,"Cakefile,coffee"
RvonMassow/xDoc,1,"xdoc"
xtext/xtext-gradle-plugin,0,""
LorenzoBettini/packtpub-xtext-book-2nd-examples,11,"entities,expressions,greetings,helloidea,hellomaven,helloweb,library,school,smalljava,xentities,xexpressions"
PrinceMei/xTextHandler,0,""
LorenzoBettini/packtpub-xtext-book-examples,6,"entities,expressions,hello,smalljava,xentities,xexpressions"
theia-ide/theia-xtext,1,"dsl"
svenefftinge/xtext-lsp-workshop,1,"calc"
ObeoNetwork/Xtext-Sirius-integration,1,"statemachine"
dslmeinte/Xtext2-DSLs,13,"$,dmd,dsd,dtd,exdsl,exp,exp_base,exp_expr,mypl,sm,wsdlr,xsdr"
merks/Xcore,1,"xcore"
ssi-schaefer/lcdsl,1,"lc"
eclipse/xtext-umbrella,0,""
danieldietrich/xtext-protected-regions,0,""
xtext/xtend-gradle-plugin,0,""
aphethean/xtext-maven-examples,1,"mydsl"
ckulla/xtext-tycho-example,1,"mydsl"
vorburger/xtext-sandbox,15,"alang,blang,define,dmodel,ecoreref,learnjvt,mydsl,myel,serializerMultiValueBug,statemachine,use,xecore"
basilfx/xtext-standalone-maven-build,1,"mydsl"
JakeGinnivan/XText,0,""
OLibutzki/xtext.tools,0,""
Xpitfire/xtext-dnn,1,"dls"
LorenzoBettini/Xtext2-experiments,5,"hellocustomecore,helloinferrer,hellojvmtypes,helloxbase,helloxcore"
eclipse/xsemantics,5,"expressions,fj,fjcached,lambda,xsemantics"
xtext/xtext-reference-projects,151,"dmodel,mydsl"
mzaks/FlatBuffersSchemaEditor,2,"fbs"
vorburger/eLang,1,"expr"
fuinorg/emt-xtext-archetype,1,"${dslExtension}"
eclipse-soc/amalgamation-examples-xtext,1,"droid"
kthoms/xtext-experimental,0,""
dsldevkit/dsl-devkit,5,"checktest,expression,format,helloworld,mydsl"
itemis/generator-xtext,1,"<%= fileExtension %>"
att/yang-design-studio,2,"yang"
martinbaker/xtextadd,5,"macro,py,pyt,test1,xgener"
LorenzoBettini/edelta,1,"edelta"
sebastianbenz/xgherkin,1,"feature"
vladdu/xtext.unittesting,1,"dmodel"
slizaa/slizaa-opencypher-xtext,1,"cypher"
xpomul/cdo-xtext,1,"gfx"
mark-christiaens/Xtext-Models-Stats-View,0,""
TypeFox/xtext-jflex,0,""
vorburger/eclipse-typescript-xtext,1,"ts"
patrickneubauer/XMLText,0,""
xtext/org.xtext.antlr.generator,0,""
boalang/xtext-ide,1,"boa"
nittka/terminology,1,"terms"
veraPDF/veraPDF-model-syntax,1,"mdl"
TypeFox/languageserver-example,1,"mydsl"
Hellmy/plantuml-eclipse-xtext,1,"puml"
stephanrauh/JSFLibraryGenerator,1,"jsfdsl"
loonwerks/jkind-xtext,1,"lus"
TatyPerson/Xtext2Sonar,0,""
TypeFox/xtext-vscode,1,"statemachine"
svenefftinge/Xtext-Workshop-Development-Workspace,1,"dmodel"
cdietrich/xtext-uml-example,1,"umldsl"
cdietrich/xtext-maven-example,1,"mydsl"
marklemay/tptpParser,2,"ax,p"
borgar/xtexts,0,""
uqbar-project/xtext-tortuga-lang,2,"tortu"
dslmeinte/Xtext1-DSLs,10,"#base,$conditional$,amb,dmd,dsd,dtd,sm,wsdlr,xsdr"
applause/applause,1,"applause"
LorenzoBettini/ecefrance2015-xtext-example,1,"expdsl"
jcmm33/DirectXTextBlock,0,""
dhuebner/xtext-apidiff,0,""
appdev/XTextView,0,""
oehme/xtext-maven-example,3,"build"
SMadani/ThriftMDE,0,""
xtext/xtext-external-editors,0,""
itemis/xtext-generator-vscode,1,"entities"
soluvas/ecommerce-sample,0,""
tianguanghui/xTextHandler-objc,0,""
meysholdt/xtext_stateful_lexer,1,"stpl"
holgerschill/XtextCon_Xcore_Maven,2,"first,second"
scottopell/vim-xtext,1,"mydsl2"
itemis/xtext-debug-example-no-xbase,1,"mydsl"
TypeFox/Xtext-XMI,1,"xtree"
joergreichert/XtextPlayground,1,"mydsl"
wuwen1030/XTExtension,0,""
fuinorg/org.fuin.dsl.cqrs,1,"cqrs"
JanKoehnlein/EclipseCon2013_XtextTutorial,1,"survey"
avaranovich/megal-xtext,1,"megal"
fuinorg/org.fuin.dsl.ddd,1,"ddd"
arturboronat/xtext.domainmodel,1,"dmodel"
otrosien/xtext-perl,1,"pm"
cmendible/Hexa.xText,0,""
SciSpike/yaktor-dsl-xtext,2,"yc,ydm"
andrearn/org.fornax.soa.xtextservicerepository,10,"basedsl,binddsl,bizdsl,envdsl,moddsl,profdsl,semdsl,sladsl,soldsl,svcdsl"
ujhelyiz/xtext-reflective,0,""
szarnekow/xtextcon-xbase-example,1,"rules"
bsi-software/org.eclipse.scout.xtext,1,"saml"
cdietrich/xtext-languageserver-xbase-example,1,"dmodel"
test-editor/deprecated-test-editor-xtext,3,"aml,config,tcl,tml,tsl"
awk-kazmin/eclipse_1C_xtext,1,"onec"
svenefftinge/fowlers-statemachine-with-expressions,1,"mydsl"
copton/XTextExamples,2,"akcc"
GeekBugs/XTextView,0,""
