owner,repo,real_created_date,date_source
oehme,xtext-maven-example,2014-08-07,api_based
SMadani,ThriftMDE,2016-08-23,api_based
xtext,xtext-external-editors,2015-12-16,api_based
itemis,xtext-generator-vscode,2016-07-21,api_based
soluvas,ecommerce-sample,2011-10-27,commit_based
tianguanghui,xTextHandler-objc,2016-07-04,commit_based
meysholdt,xtext_stateful_lexer,2012-06-04,api_based
holgerschill,XtextCon_Xcore_Maven,2015-05-12,api_based
scottopell,vim-xtext,2015-12-07,api_based
itemis,xtext-debug-example-no-xbase,2017-11-23,api_based
TypeFox,Xtext-XMI,2017-07-06,api_based
joergreichert,XtextPlayground,2012-04-30,api_based
wuwen1030,XTExtension,2016-06-23,api_based
eventB-Soton,XTheory,2018-05-26,api_based
JanKoehnlein,EclipseCon2013_XtextTutorial,2013-03-19,api_based
marnix,metamath-eclipse-xtext,2015-09-26,api_based
Modaptix,xtext-expressions,2015-07-08,commit_based
arturboronat,xtext.domainmodel,2016-09-23,api_based
otrosien,xtext-perl,2016-05-10,commit_based
cmendible,Hexa.xText,2011-07-18,api_based
SOM-Research,graphQL-xtext-grammar,2017-03-22,api_based
andrearn,org.fornax.soa.xtextservicerepository,2011-03-04,api_based
ujhelyiz,xtext-reflective,2012-02-15,api_based
szarnekow,xtextcon-xbase-example,2014-05-21,api_based
DonRenando,xtext,2015-11-12,api_based
cdietrich,xtext-languageserver-xbase-example,2016-08-11,api_based
test-editor,deprecated-test-editor-xtext,2015-05-06,api_based
awk-kazmin,eclipse_1C_xtext,2015-04-15,api_based
svenefftinge,fowlers-statemachine-with-expressions,2012-05-07,api_based
copton,XTextExamples,2010-07-09,api_based
GeekBugs,XTextView,2017-09-24,api_based
akosyakov,org.xtext.example.mydsl.idea,2014-07-14,api_based
Jaddison011,C4EventB,2023-03-06,api_based
HBehrens,Xtext2Workshop,2011-06-30,commit_based
GrupoHunter,Kukuroo,2013-11-30,api_based
itemis,xtext-languageserver-example-lsp4e,2016-12-07,api_based
fatalerrortan,Xtext_Xtend_HTML_Generator,2017-04-20,api_based
spoenemann,xtext-gef,2015-03-27,api_based
LinguaPhylo,linguaPhyloDSL,2021-03-19,api_based
jhonatan89,gen-angular-grammar,2017-08-11,api_based
LorenzoBettini,jbase,2015-09-08,commit_based
mn-mikke,Model-driven-Pretty-Printer-for-Xtext-Framework,2013-02-26,api_based
Buggaboo,xplatform,2014-03-31,api_based
cmark,androtext,2011-11-19,api_based
svenefftinge,homeautomation-example,2014-09-24,api_based
kainzpat14,xtext-plsql,2022-02-23,api_based
janesser,frege-xtext,2016-05-22,api_based
szarnekow,org.eclipse.e4.xcss,2010-10-22,api_based
LorenzoBettini,xtext-scoping,2012-05-29,api_based
JanKoehnlein,ESE-2010-Tutorial,2010-10-20,api_based
spoenemann,xtext-orion,2015-06-24,api_based
ryanignatius,CheckerDSL,2015-04-21,api_based
trichterwolke,init,2018-11-20,api_based
erlide,erlide_xtext,2011-05-23,commit_based
cdietrich,xtext-forum-support-example,2016-11-16,api_based
ESIR2Compilation,Langage-WHILE,2015-11-09,api_based
mattsse,xtext-fipa-acl,2018-03-05,commit_based
Sofiane-13,tutorialXtextSirius,2017-05-18,api_based
eclipse-soc,amalgamation-examples,2011-05-13,api_based
dvdkruk,xtext-xsd-resourceprovider,2015-11-17,api_based
kyberszittya,simple-ros-code-generator,2020-05-05,api_based
JanKoehnlein,Xtext-Syntax-View,2010-08-29,api_based
planger,xtext-uml-experiment,2016-09-22,commit_based
raglu,ExternalDSL-xtext,2021-04-20,api_based
uppaal-emf,uppaal-xtext,2022-12-04,api_based
drnappalm,xtext,2014-04-17,api_based
svenefftinge,Xtext-Workshop-Runtime-Workspace,2011-07-03,commit_based
martijndwars,XtextXT,2015-08-21,commit_based
nahni,xtextTessla,2017-09-06,api_based
baidty,xtextLearning,2016-04-11,api_based
MoayadHn,XtextBDI,2015-11-08,api_based
fzalila,XtextExperiments,2015-12-07,api_based
Girish-Venkatesh,XTextSelenium,2014-11-16,api_based
Vinayakatk,xtextScopes,2016-06-10,api_based
01Lizard10,XTextUML,2015-06-09,commit_based
Salome-Maro,XtextUtils,2014-07-07,api_fallback
robertovillarejo,kukulkan-grammar,2018-03-02,api_based
mraminella,xtextTests,2017-11-08,api_fallback
Alma2015RSABSAWA,XtextLangage,2015-11-25,api_based
myorb,XTextParser,2015-04-27,commit_based
Jhinnn,XTextView,2017-03-14,api_based
kathisai,xtextSample,2017-07-24,api_based
huibo-shi,XtextExamples,2016-02-05,api_based
osamu-k,XTextStudy,2014-02-09,api_based
Treehopper,XTextTemplate,2014-07-11,api_based
seba111,Xtext1,2013-03-18,api_based
shinesamjacob,XtextExample,2016-06-02,api_based
ajperalt,xtext,2013-10-21,commit_based
schakko,xtext-plugin-with-maven-tycho,2013-02-13,api_based
colameo,xtext4roo,2011-01-22,commit_based
vinpereira,XtextToXMI,2016-06-21,api_based
JanKoehnlein,XtextCon2014,2014-08-26,api_based
bink81,xtext-test,2016-02-24,api_based
xtext42,xtext42-coding,2017-03-25,api_fallback
borisbrodski,XtextBug437519,2014-11-13,api_based
hypery2k,xText,2011-12-15,api_fallback
borisbrodski,XtextBug453268,2014-11-26,api_based
Samirez,DSLs,2023-07-10,api_based
superxlx,XTextViewDemo,2015-05-10,api_based
johnBened,XtextMyDSLExample,2016-09-08,api_fallback
philiber92,XtextTestRepository,2015-09-20,api_based
fabienfleureau,XtextAtStackoverflow,NOT_FOUND,NOT_FOUND
yunxiaocloud,XTextFieldLimtDemo,2016-05-19,api_based
eclipse,xtext-gradle,2016-05-31,api_based
Mensmec,THESIS_XTEXT,2016-11-14,api_based
MacJariel,sandbox-dsl,2011-03-25,api_based
chetanladdha,XtextFormatingHoverSample,2017-03-28,api_fallback
ainslec,XTextCustomLexerExample,2013-04-14,api_based
hem28,DSL_Xtext2.3,2012-09-04,api_based
HBuender,XtextAndSiriusIntegration,2017-10-07,api_based
meysholdt,EclipseCon2014_XtextTutorial,2014-10-09,api_based
jaimedelgado,Xtext,2015-03-25,api_based
chris125964,xtext,2014-10-16,api_based
bujosa,smart-dsl,2023-07-01,api_based
martijndwars,Xtext,2015-04-26,commit_based
ozkandemir,XText,2014-01-12,api_based
johnahfong,xtext,2015-10-26,api_based
Mensmec,Xtext,2016-11-14,api_based
pellcorp,xtext,2016-02-02,api_based
Tutti91,Xtext,2015-06-11,api_based
ANCIT,xtext-examples,2017-07-14,api_based
DECENTSoftwareAssessment,dag.m1x,2013-10-11,commit_based
rmemory,xtext,2017-03-30,api_based
deb-sandeep,com.sandy.xtext.jovenotes.tests,2015-06-03,api_based
yasuohosotani,Xtext,2014-04-05,api_based
Nika24,Xtext,2017-05-11,api_based
BenediktNiehues,de.nie.fin,2012-10-26,api_based
AlexElvers,XText,2014-05-12,api_based
lakzso,xtext,2016-02-23,api_based
seba111,Xtext,2013-03-18,commit_based
MacJariel,xtext,2011-03-12,api_based
tmtron,xtext.15minTutorial,2016-12-13,api_based
blewis13,Boxes,2016-01-01,api_based
DECENTSoftwareAssessment,famix.m3x,2013-06-07,commit_based
dslmeinte,SimScript,2012-10-21,api_based
webdaford,aqleditor,2015-03-09,api_based
goldschmiede,2012-02-03_dsls_mit_xtext,2013-01-21,api_based
kthoms,org.eclipse.xtext.example.domainmodel,2011-07-08,api_based
Reitzner,xtextmaven,2016-03-03,api_based
hectorsun,xtextonboost,2016-05-16,api_based
duck2,xtextbg,2016-11-16,api_based
Xpitfire,xtext-dnn,2016-12-03,api_based
ceefour,glproto,2011-09-23,api_based
DECENTSoftwareAssessment,dag.m1x.tests,2013-10-11,commit_based
jcabot,WordPress-Plugin-DSL,2019-02-11,api_based
davidmpaz,php.ware.web.ui,2011-04-29,api_based
DanielWeber,xtextext,2010-10-04,api_based
fzalila,xtextfsm,2017-05-25,api_based
DECENTSoftwareAssessment,dag.m1x.sdk,2013-10-11,commit_based
jgoppert,xmodelica,2016-05-11,api_based
Vinayakatk,xtextgeneratetest,2016-02-18,api_based
stefano-bragaglia,Kinect-ECE-XText,2013-09-27,api_based
DECENTSoftwareAssessment,dag.m1x.ui,2013-10-11,commit_based
viatra,viatra-evm-xtext,2015-12-08,api_based
Cosimo5lli,assertx-swing,2018-04-16,commit_based
atb,pt.isep.dsl.puml,2019-12-19,api_based
benzait27,Xtext.Promo,2016-11-08,api_based
malakeel,myDsl,2016-06-05,api_based
npalix,org.eclipse.xtext.example.arithmetics,2016-12-08,api_based
sormgabriel,textual_verduler,2015-10-31,api_fallback
ekowahyudi,examplextext,2012-11-07,api_fallback
DECENTSoftwareAssessment,famix.m3x.ui,2013-11-05,commit_based
nakul02,sialx-xtext-ide,2014-06-19,api_based
kduske-n4,DomainModel,2016-09-12,api_based
Infoly,SmallJava,2017-01-22,api_based
inakuhn,de.htwg.mdse.setgame.entities.parent,2017-06-10,api_based
merks,Xcore,2011-08-02,api_based
DECENTSoftwareAssessment,famix.m3x.tests,2013-11-05,commit_based
SciSpike,yaktor-dsl-xtext,2016-05-25,commit_based
meysholdt,xtext_examples,2014-05-14,api_based
manuelleduc,xtext-lib,2008-05-09,commit_based
xarvey,atom-xtext-package,2015-10-03,api_based
LolloCorte,bpel-xtext,2011-09-08,commit_based
sciolizer,xtext-sandbox,2016-02-09,api_based
denschu,xtext-whitespace,2012-03-01,api_based
pablitar,claseXtext,2012-11-03,api_based
DECENTSoftwareAssessment,famix.m3x.sdk,2013-11-05,commit_based
tdegueul,xtext-composition,2014-07-03,api_based
danieldietrich,xtext-javatools,2013-01-16,api_based
Hellmy,plantuml-eclipse-xtext,2015-07-20,api_based
efuentesp,codebuilder-xtext,2016-07-09,api_based
zrrk,xtext-utils,2011-07-28,commit_based
juli1,xtext-debug,2015-05-22,api_based
nbhusare,Xtext-sandbox,2014-07-11,api_based
jachinte,xtext-grammars,2016-02-19,api_based
susieagerholm,XTEXT_EXAMPLE,2017-04-29,api_based
itemis,monaco-xtext,2017-01-26,api_based
xiaoyvr,xtext-demo,2013-03-20,commit_based
hmc-cs111-fall2015,picobot-XText,2015-11-18,api_based
yanntm,Xtext-Light,2017-05-20,api_based
quendimax,libXtextcursorchanger,2012-03-02,api_based
Ikraminfo,GrammaireXtext,2017-04-21,api_fallback
nickeeyyoo,xtext_project,2016-03-16,api_based
marinamygithub,xtext_project,2016-05-02,api_based
lukashaertel,xtext-xgen,2014-05-20,api_based
fmca,xtext-typesystem,2010-10-27,commit_based
almazhou,xtext-demo,2014-07-21,api_based
Huluvu424242,xtext.example,2016-04-29,api_based
kiddochan,xtext-typesystem,2010-10-27,commit_based
mmalohlava,ppXtext,2012-07-18,api_based
ponta027,xtext_practice,2015-05-12,api_based
bhdrkn,Xtext-Examples,2011-10-20,api_based
fatalerrortan,Xtext-examples,2017-04-22,commit_based
gcr-nist,runtime-Xtext,2016-08-16,api_based
fBrx,language-xtext,2014-12-05,api_based
ilya-klyuchnikov,sll-xtext,2014-01-26,api_based
vonbolt,Xtext_test,2015-06-03,api_based
rytina,xtext-typesystem,2010-10-27,commit_based
philiber92,xtext-utils,2011-07-28,commit_based
thomasfischl,xtext-workshop,2013-10-24,api_based
jbadeau,ng-xtext,2016-10-12,api_based
qxe35v,xtext_encoding_dsl,2018-03-14,api_based
szarnyasg,gradle-xtext,2016-10-30,api_based
malbac,Xtend_Xtext,2015-04-26,api_based
gitpan,Convert-XText,2007-09-02,commit_based
rmemory,xtext_eclipse,2017-03-30,api_based
UnibgInfo3A,ebnfworkbench,2016-11-18,api_based
lukashaertel,xtext-xtestgen,2014-07-12,api_based
zhangyuanqiao,selenium-xtext,2016-02-08,commit_based
cooked,modelica-xtext,2016-02-16,api_based
RobertWalter83,DialogScriptDSL,2013-09-15,api_based
hamza-abed,JSEditorXtext,NOT_FOUND,NOT_FOUND
nileshrege,El,2013-03-15,api_based
kwanggy,xtext-sublime,2015-12-09,api_based
thicket-lang,thicket-xtext,2015-10-06,api_based
agentlab,xtext-web,2016-07-08,api_based
test-editor,xtext-dropwizard,2017-06-30,api_based
kecskesk,xtext-menetrend,2016-11-14,commit_based
ftrifin,xtext-utils,2011-07-28,commit_based
scottopell,xtext_utils,2015-11-19,api_based
lukashaertel,xtext-fsml,2013-11-28,api_based
fedorov-vk,apds_dsl,2023-04-15,api_based
Modaptix,xtext-utils,2015-07-23,commit_based
itemis,xtext-issues,2016-09-09,api_based
holzem,xtext-lexertrace,2017-11-20,api_based
victorlacorte,Tcc,2013-06-14,api_based
limelanguage,lime-xtext,2014-06-18,api_based
edgarmueller,xtext-recordmapper,2013-09-27,api_based
bsi-software,org.eclipse.scout.xtext,2012-09-24,api_based
MatzeGIT,XText-maven,2013-04-30,api_based
tkurita,XText.scptd,2012-05-24,commit_based
coalae,telemed,2018-06-04,api_based
dvdkruk,xtext-workshop,2017-02-14,api_based
npalix,org.xtext.example.mde,2016-12-08,api_based
logicfish,XActiv,2013-10-11,api_based
kittaakos,webcalc,2016-03-02,commit_based
iensen,certware-l-editor,2015-06-04,commit_based
PAMunb,MetaCrySL,2020-07-05,commit_based
vladimirkozhaev,casualintellect_new_wizard,2016-01-09,api_based
TinyScream,org.xtext.amodel,2017-07-27,api_based
M2TIIL2016-2017,SiteWeb_XText,2016-12-13,api_based
schakko,hackcamp-xtext-automotivebus,2014-06-15,api_based
sfinnie,xtext.scoping.adventures,NOT_FOUND,NOT_FOUND
smba,model-based-times,2015-12-03,api_based
fuinorg,org.fuin.dsl.cqrs,2014-04-18,api_based
schakko,xtext-bug-436688,2014-09-12,api_based
dhuebner,xtext-builddsl-tycho,2014-06-18,api_based
matejsp,lwc13-xtext,2013-01-24,commit_based
ftrifin,xtext-utils.uml,2015-07-17,api_based
mbarbero,xtext-forms-integration,2010-08-24,commit_based
FForw4rd,xtext-restriction-framework,2015-09-28,api_based
zrrk,xtext-utils.devenv,2011-08-12,commit_based
ftrifin,xtext-utils.xtend,2015-07-17,api_based
svenefftinge,xtext-jaxcon-example,2014-05-12,commit_based
LorenzoBettini,xtext-demo-laquila,2016-05-14,commit_based
jakecobb,xtext-iris-datalog,2014-07-07,commit_based
graph-quilt,xtext-service-dsl,2021-11-16,api_based
philiber92,xtext-utils.unittesting,2015-09-09,api_based
philiber92,xtext-utils.distribution,2015-09-09,api_based
phaldan,htwg-cform-xtext,2017-07-31,api_based
itemis,xtext-example-conplan,2017-08-31,api_based
LorenzoBettini,Xtext-Buckminster-Example,2012-05-21,commit_based
LorenzoBettini,xtextcon-typesystem-example,2014-05-27,api_based
dhuebner,org.xtext.example.tycho,2011-08-31,api_based
agentlab,eclipse-orbit_xtext-web,2016-07-26,api_based
Tutti91,xtext_language_bla,2015-06-25,api_based
LeonoraG,xtext-req-editor,2016-01-18,api_based
xarvey,atom-xtext-autocomplete,2015-11-19,api_based
franzbecker,xtext-formatter-problem,2016-11-01,api_based
ftrifin,xtext-utils.distribution,2015-07-17,api_based
Fritzi,XText_TeSSLa,2017-08-25,api_based
madasar,booster2-xtext,2017-03-06,api_based
TypeFox,xtext-splitted-repo,2008-05-09,commit_based
zrrk,xtext-utils.uml,2011-07-28,commit_based
zrrk,xtext-utils.xtend,2011-07-28,commit_based
ftrifin,xtext-forms-integration,2010-08-24,commit_based
JanKoehnlein,fxdiagram-xtext-examples,2017-09-06,api_based
joergreichert,Cool,2014-04-27,api_based
rju,xtext-typing-example,NOT_FOUND,NOT_FOUND
philiber92,xtext-utils.xtend,2015-09-09,api_fallback
Advanced-Model-Engineering-SS16,xtext-ocl-extensions,2016-06-03,api_based
zrrk,xtext-utils.distribution,2011-07-28,commit_based
Johanvdberg,mcrl2.xtext,2017-01-26,api_based
kryptonite22,rsbac.xtext.dsl,2017-08-01,api_based
tkleszczynski,jug-zgora-xtext,2015-11-16,commit_based
philiber92,xtext-utils.devenv,2015-09-09,api_based
jeffmaury,devoxx2012-xtext,2012-04-17,api_based
YonedaMasashi,xText_Practice,2015-03-31,api_based
jackqq,xTextEdit,2016-05-17,api_based
ftrifin,xtext-utils.unittesting,2015-07-17,api_based
lgcardeas,xtext-forms-integration,2010-08-24,commit_based
vrichard12,xtext-forms-integration,2010-08-24,commit_based
itemis,xtext-monaco-example,2017-09-21,api_based
pabu90,xtext-ci-test,2013-11-22,commit_based
kukulkan-project,kukulkan-language-server,2018-03-02,commit_based
zrrk,xtext-utils.unittesting,2011-03-17,commit_based
LorenzoBettini,xtext-index-experiments,2013-04-02,commit_based
ftrifin,xtext-utils.devenv,2015-07-17,api_based
inteldict,xtext-gradle-demo,2016-09-20,api_based
cdietrich,xtext-multi-dsl,2017-07-17,api_based
Huluvu424242,rezept-dsl.xtext,2016-04-30,api_based
lunifera,lunifera-xtext-runtimebuilder,2014-06-13,api_based
sikessle,xtext-forms-integration,2010-08-24,commit_based
priya0311,xtext-forms-integration,2010-08-24,commit_based
philiber92,xtext-utils.uml,2015-09-09,api_based
talalong,dbFactoryXtext,2017-12-18,api_based
stackoverflowmailer,lwc13-xtext,2013-01-24,commit_based
willy2706,if4150-xtext,2015-11-27,api_based
wwu-pi,acse-xtext-validation,2016-05-28,api_based
ProgrammableDrones,xTextLanguage,2017-03-03,api_based
raynair,webml,2015-02-05,api_based
wwu-pi,acse-xtext-gui,2016-05-01,api_based
peterssas,xtext-gradle-problem,2017-06-27,api_based
zhoumin03,xtext-forms-integration,2010-08-24,commit_based
gcubar,CodeXcessXtext,2012-06-29,api_based
cdietrich,xtext-ecore-xcore,2017-07-20,api_based
ayoubziat,xtext_DSL_example,2017-08-31,api_based
xiaoyvr,xtext-demo-oxygen,2017-12-11,api_based
test-editor,deprecated-xtext-index-backend,2017-10-25,api_based
lukashaertel,xtext-technocat,2014-06-05,api_based
npalix,org.eclipse.xtext.example.fowlerdsl,2016-12-08,api_based
dslmeinte,xtext-workshop-code1,2010-09-06,commit_based
chauhansaurabhb,Eclipse-Xtext-Mydsl-Plugin,2016-12-02,api_based
intuit,common-xtext-expression-language,2021-04-01,api_based
zwgirl,summer,2014-04-21,api_based
rymarenkosuccess,Coffeescript-Eclipse,2015-06-27,api_based
svenefftinge,Guice-Modules-DSL,2011-03-29,api_based
logicfish,XPlane,2013-10-11,api_based
LorenzoBettini,Xtext-Xtend-Buckminster-Example,2012-05-21,commit_based
vorburger,eclipse-typescript-xtext-repository,2013-12-29,api_based
pankeshpatel,EclipsePluginForXtext,2015-11-17,api_based
Hellmy,plantuml-eclipse-xtext_update,2015-12-21,api_based
xpomul,xtext-multi-edit-example,2017-02-14,api_based
tmtron,xtext.eclipse.15minExtended,2016-12-16,api_based
deb-sandeep,com.sandy.xtext.jovenotes.ui,2015-05-14,api_based
ftrifin,xtext-utils.xtend1,2015-07-17,api_based
szarnekow,xtext-arithmetics-web-example,2015-11-19,api_based
wwu-pi,acse-xtext-knuth-binaries,2016-05-01,api_based
jwachter,xtext-serializer-issue-example,2017-08-14,api_based
hwong23,dsl.evtool,2021-06-10,api_based
camilagarcia113,xtext-dsl-obj3,2016-07-27,api_based
cdietrich,gradle-xtext-xtend-problem,2016-08-31,api_based
mzaks,FlatBuffersSchemaEditor,2015-12-03,api_based
svenefftinge,Xtext-LWC-contribution--Instances-,2011-04-21,api_based
btc-ag,service-idl,2018-03-29,api_based
willy2706,if4150-xtext-html,2015-11-28,api_based
phaldan,htwg-cform-xtext-demo,2017-08-08,api_based
hypery2k,Xtext-GrammarMixin-Example,2011-12-14,api_based
philiber92,xtext-utils.subproject-template,2015-09-09,api_based
zrrk,xtext-utils.subproject-template,2011-07-28,commit_based
thowin,ituXtextLandinConfigurator,2016-12-04,api_based
philiber92,xtext-utils.xtend1,2015-09-09,api_based
claudenirmf,old-tests-on-xtext,2016-10-25,api_based
zouhairireda,xtext-ocl-xtend-poc,2016-09-11,api_based
franzbecker,xtext-serializer-parallel-problem,2016-11-01,commit_based
lunifera,lunifera-xtext-runtimebuilder-example,2014-07-07,api_based
ftrifin,xtext-utils.subproject-template,2015-07-17,api_based
fluxtah,xtext-android-gradle-example,2015-03-31,api_based
hypery2k,Xtext-Maven-BuildExample,2012-10-08,api_based
kittaakos,xtext-eclipse-gh-238,2017-04-21,api_based
MatzeGIT,XText-Maven-CleanStart,2013-05-06,api_based
Rodolfocostapr,org.xtext.example.pascalito,2017-07-06,api_based
deb-sandeep,JoveNotesProcessor,2015-05-16,api_based
zrrk,xtext-utils.xtend1,2011-07-28,commit_based
tanthingdeveloper3unshine,AutoCompleteXTextView,2015-06-04,api_based
loradd,uml-xtext-grammar-generator,2017-04-03,api_based
v-bashev,post_core,2021-07-07,api_based
vicegd,org.xtext.dsl.restaurante,2017-10-20,api_based
paulluap,xtext-extras-issue216,2017-12-20,commit_based
dhakehurst,net.akehurst.example.xtext.vertx,2016-09-15,api_based
alvilgau,de.htwg.xtext.setGame,2016-06-24,api_based
arnulfo-rodriguez,XtextClosureExample,2012-01-27,commit_based
rdurelli,com.br.refactoring.xtext.dsl,2014-04-29,api_based
tmtron,xtext.15minTutorial.project,2016-12-13,api_based
agentlab,eclipse-orbit_xtext-web-dsls,2016-10-07,api_based
threadedblue,org.eclipse.xtext.example.domainmodel,2016-08-16,api_based
cdietrich,xtext-existing-metamodel-gradle-example,2016-10-01,api_based
wrungel,tycho.xtext.mwe2.test,2014-01-27,api_based
DemidovAlexander,Xtext_MiniJava_IDE,2016-02-04,api_based
ftmdida,xtext_code_gen_version_2,2015-11-27,api_based
vaulttec,isis-script,2015-07-05,api_based
cdietrich,xtext-gradle-plugin-issue-60,2016-08-03,api_based
thowin,ituXtextLandin2Configurator,2016-12-06,api_based
jkouwer,basicfamily,2014-03-24,api_based
goldschmiede,2011-02-18_xtext_apache_wicket,2013-01-21,api_based
Dexels,navascript-editor,2021-02-05,api_based
deparlak,de.htwg.mdsd.xtext.portals,2015-05-19,api_based
shashwatanand,org.shashwat.xtext.smallJava,2015-08-01,api_based
mmalohlava,gpp-for-xtext-master-thesis,2015-03-14,api_fallback
dexz92,Integrating-Xtext-and-JavaRAG,2016-07-13,api_based
Rodolfocostapr,org.xtext.example.pascalitoOld,2017-07-05,api_based
LiamWalsh98,nusmv-xtext-lsp,2020-08-10,api_based
fuinorg,xsample,2013-09-29,api_based
florianpirchner,beantypes,2016-07-30,api_based
cdietrich,xtext-gradle-plugin-issue-61,2016-08-03,api_based
rdurelli,com.br.refactoring.xtext.dsl.ui,2014-04-29,api_based
threadedblue,org.eclipse.xtext.example.domainmodel.tests,2016-08-16,api_based
rdurelli,com.br.refactoring.xtext.dsl.tests,2014-04-29,api_based
shashwatanand,org.shashwat.xtext.smallJava.ui,2015-08-01,api_based
tmtron,xtext.eclipse.15minExtended.project,2016-12-16,api_based
chqu1012,MetroUiDescriper,2015-06-13,api_based
eventB-Soton,XUML_B,2019-01-10,api_based
jacruzca,xtext-multilanguage-multiple-target-impl-reuse,2013-10-18,api_based
qscdfg,mybash,2016-05-20,api_based
eirikg,XbaseSiriusIntegration,2016-07-10,api_based
nohum,android-code-generation,2015-01-01,api_based
gvd,zest-sm,2012-03-04,api_based
uqbar-paco,declaratividad-orm-java,2012-08-29,commit_based
shashwatanand,org.shashwat.xtext.smallJava.tests,2015-08-01,api_based
dhakehurst,net.akehurst.example.xtext.vertx.lsp,2016-09-21,api_based
hakimuga,BIP-language,2021-03-25,api_based
goldschmiede,2011-04-29_xtext_service_repository,2013-01-21,api_based
markusvoelter,DSLEngBook-Xtext-P3Demo,2011-05-29,api_based
ESIR2Compilation,PrettyPrinter,2015-11-09,api_based
bmael,MVCLang,2013-11-13,api_based
renaudhelias,MameVHDL,2015-08-11,api_based
felipedf,compiler,2016-01-27,api_based
marcotinacci,XTuring,2012-11-06,api_based
threadedblue,org.eclipse.xtext.example.domainmodel.ui,2016-08-16,api_based
joergreichert,OperationsResearch,2013-06-02,api_based
tommyettinger,julepp,2016-07-26,api_based
masters-info-nantes,SmokingText,2015-11-04,api_based
daniel-laszlo,temalabor,2016-12-07,api_based
Quingo,compiler_xtext,2020-08-16,api_based
vorburger,FormGeneratorPOC,2015-01-08,commit_based
nittka,pocesl,2013-01-22,api_based
logicfish,POMText,2013-02-25,api_fallback
cdietrich,https---github.com-meysholdt-xtext_stateful_lexer,2013-01-18,api_fallback
jpaw,bonaparte-apidsl,2015-04-01,api_based
meysholdt,performance_probes,2013-04-26,api_based
avaranovich,megal-xtext,2012-01-01,commit_based
trifonnt,net.adempiere.dsl.properties.spring.parent,2018-08-05,api_based
cokeSchlumpf,bashdsl,2015-11-15,commit_based
ceefour,emf-sandbox,2012-06-15,commit_based
nittka,Jtag,2017-03-05,api_based
mythicfreak,aomxsgrammar,2014-08-03,api_based
nittka,Xarchive,2016-11-06,api_based
rquinio,ck2xtext,2016-01-20,api_based
DavidFosterLuhmann,high-dim,2013-02-17,api_based
test-editor,deprecated-test-editor-index-backend,2017-11-14,api_based
sidz8690,EasyUnit,2011-12-27,api_fallback
lsotnk,lsotnk.xbase.launching,2017-12-22,api_based
Minres,CoreDSL,2020-09-23,api_based
graph-quilt,graphql-xtext,2019-11-25,api_based
softlang,megal-xtext,2012-01-01,commit_based
raghvendra-v,tosca-yaml-lsp,2019-06-03,api_based
RvonMassow,xDoc,2010-08-05,commit_based
N0P0x90,EclipseExamples,2016-01-21,api_based
martinmuellenberg,cityplanning,2012-11-27,api_based
newdigate,soa-dsl-scaffolding,2015-03-11,api_based
code-kontor,openCypher-Xtext,2016-10-04,commit_based
nittka,ASP,2013-04-28,api_based
LiamWalsh98,tumlrt-language-server,2016-06-29,commit_based
danhaywood,kemble,2013-09-09,api_based
schakko,bsc-thesis-documentation,2013-03-04,api_based
vorburger,eLang,2011-08-07,api_based
timeraider4u,external_jar_download,2016-11-20,api_based
fuinorg,org.fuin.dsl.ddd,2014-03-28,api_based
HolyCityAudio,SpinCAD-Builder,2013-12-08,commit_based
sebastianbenz,xgherkin,2011-07-07,api_based
alexisfacques,dsl-feature-modelling,2017-12-15,api_based
Minres,RDL-Editor,2017-09-12,api_based
JPL-IMCE,gov.nasa.jpl.imce.oml.core,2017-02-20,api_based
PuneetPatwari,system-map-maker,2014-09-17,api_based
atanaka,DomainmodelWithCrossReference,2017-05-06,api_based
rainerschuster,eclipse-webidl,2014-12-14,api_based
rowlo,testdsl,2016-06-30,commit_based
marklemay,tptpParser,2013-11-24,api_based
WesleyMarques,CompiladorJava,2015-06-07,api_based
tommyettinger,kobold,2016-06-23,api_based
cedricvidal,protobuf4e,2010-04-03,commit_based
NaoMod,MiniTL,2016-09-23,commit_based
ksza,Bicycle-Shop,2010-09-27,commit_based
nittka,terminology,2013-02-22,api_based
ssi-schaefer,lcdsl,2017-02-01,api_based
LorenzoBettini,edelta,2016-10-05,commit_based
deb-sandeep,com.sandy.xtext.jovenotes,2015-05-14,api_based
arbennett,ParserGeneratorExample,2016-02-03,api_based
OElabed,Model-Driven-Engineering--Eclipse-RCP-plugin--Software-product-line,2014-12-16,api_based
hishidama,xtext-dmdl-editor,2013-08-17,commit_based
cwiscount,mydsl-emf-gen,2017-11-07,api_based
rmuecke,clinicaltrialcreator,2010-02-15,api_fallback
opcoach,datasample,2010-08-21,commit_based
diverse-project,melange-studio,2016-04-12,api_based
marcotinacci,Event-Oriented-Language,2011-06-03,commit_based
eclipse,epsilon,2008-09-11,commit_based
marcotinacci,SwarmRobotics,2012-04-14,api_based
Padmar1995,gh,2017-10-24,api_based
,,NOT_FOUND,NOT_FOUND
