Owner,Repo,Forks Count,Stars Count
George-6629,Lobster-language-conversion-sql-language-based-on-Xtext,0,0
hvbargen,meth,0,0
mischnic,bachelors-thesis,0,0
cs130-w22,statemachine,0,1
cesarlaso,tfm-udima-arquitectura-del-software-dsl-ecore-xtext-emf,0,0
houssemradhouane,Meta-Modelisation-of-Games-Using-UML-Eclipse-Xtext-Acceleo-JAVA,0,1
mdsd-team-1,domain-specific-language,0,0
PalladioSimulator,Palladio-Editors-VSCode,1,1
nils-christian,xtend-active-annotation-issue,0,0
modicio,feature-dsl-tools,0,0
HBuender,Aim42Visualizer,0,1
scanyboss,ide-yourdsl,0,0
spirvdev,dumpsymb,0,1
thlaegler,edilang,0,1
agonzalezgaliana,mydsl-language-server,0,0
codezork,DSL-Blog,0,0
LorenzoBettini,issue-2000-example,0,0
trifonnt,net.adempiere.dsl.properties.spring.parent,0,0
scanyboss,hello-world-language,0,0
joerg-holtmann,Pretty-Printer_Language-Analysis,0,1
coffeeframework,HLVL,0,0
HermanPeeren,eJSL-MPS,0,1
kukulkan-project,kukulkan-language-server,0,0
mdsd-team-1,dsl-layered-style,0,0
larissafiorini,t2-lingProg,0,0
ragben,NetzDsl,0,0
Cosimo5lli,assertx-swing,0,0
gyaltso,Eclipse-Training-Schedules,0,0
wzurborg,xtend-example,0,0
kyberszittya,simple-ros-code-generator,0,0
LinguaPhylo,linguaPhyloDSL,0,0
dsanmartins,Entidades,0,0
opcoach,datasample,1,0
bujosa,smart-dsl,1,2
robinguill,DSL_UML_INSA,0,0
DedalArmy,SpringDSLJava,0,0
LiamWalsh98,tumlrt-language-server,0,0
jonev,HTTP-REST-test-DSL,0,0
ElBilbao,DSL-Wizard-Creator,0,0
ooaa30,Wail,1,0
Wilson008,GrammarGenerator,0,0
ScytherTool,dsl,0,0
NaoMod,MiniTL,0,0
ryangarvey,mde-spec,0,0
bfMarcelino,SchemeLP,0,0
henriklange,ifcBrickConvert,0,0
osarenogae,fault_trees_textual_editor,0,0
claudenirmf,TPTP-Editor,0,0
augustin-rialan,IDM,0,0
henriklange,ifcBrickConvertDsl,0,0
PikaQin,XModel-Code-Converter,1,1
helloyaqin,XModel-Code-Converter,0,1
Garlo13,CEPStaticAnalysis,1,0
Frederic-Boulanger-UPS,MiniARM-feature,0,1
Jaddison011,C4EventB,0,1
MDEGroup,metatemplating,0,0
abdullah-4Mohammed,AWS-EC2-Service_DSL-EMF,0,0
grammeaway,math-interpreter-dsl,0,0
ahmedsaleh1998,concept_project,0,0
Chaimaa-Louahabi,Model-Driven-Engineering,0,0
fayssalElAnsari,Kotlin-Meta-Model,0,0
MisbahAwan,SeamlessRuntimeTransformations,0,0
ProjetoDSL,CanopusDesign,0,0
Ryuzaki101,Workbench,0,0
eclipse,xtext,314,746
eclipse,xtext-core,98,117
eclipse,xtext-xtend,53,101
eclipse,xtext-eclipse,80,49
eclipse,xtext-extras,38,20
eclipse,xtext-web,36,14
xtext,seven-languages-xtext,47,67
eclipse,xtext-maven,26,13
eclipse,xtext-lib,33,19
xtext,maven-xtext-example,33,62
seebk,LaTeXText,18,137
cdietrich,xtext-languageserver-example,35,32
eclipse,xtext-idea,18,13
adamschmideg,coffeescript-eclipse,26,66
RvonMassow,xDoc,15,33
xtext,xtext-gradle-plugin,20,47
LorenzoBettini,packtpub-xtext-book-2nd-examples,24,68
PrinceMei,xTextHandler,76,0
LorenzoBettini,packtpub-xtext-book-examples,20,34
theia-ide,theia-xtext,13,29
svenefftinge,xtext-lsp-workshop,12,28
ObeoNetwork,Xtext-Sirius-integration,11,19
dslmeinte,Xtext2-DSLs,5,17
merks,Xcore,5,31
ssi-schaefer,lcdsl,11,22
eclipse,xtext-umbrella,20,2
danieldietrich,xtext-protected-regions,6,12
xtext,xtend-gradle-plugin,8,45
aphethean,xtext-maven-examples,6,21
ckulla,xtext-tycho-example,7,14
vorburger,xtext-sandbox,7,8
basilfx,xtext-standalone-maven-build,9,8
JakeGinnivan,XText,5,7
OLibutzki,xtext.tools,4,24
Xpitfire,xtext-dnn,5,14
LorenzoBettini,Xtext2-experiments,3,12
eclipse,xsemantics,19,32
xtext,xtext-reference-projects,6,7
mzaks,FlatBuffersSchemaEditor,4,18
vorburger,eLang,4,7
fuinorg,emt-xtext-archetype,4,10
eclipse-soc,amalgamation-examples-xtext,4,9
kthoms,xtext-experimental,3,11
dsldevkit,dsl-devkit,28,38
itemis,generator-xtext,3,7
att,yang-design-studio,18,25
martinbaker,xtextadd,2,16
LorenzoBettini,edelta,6,9
sebastianbenz,xgherkin,5,29
vladdu,xtext.unittesting,7,1
slizaa,slizaa-opencypher-xtext,3,9
xpomul,cdo-xtext,5,2
mark-christiaens,Xtext-Models-Stats-View,5,3
TypeFox,xtext-jflex,5,2
vorburger,eclipse-typescript-xtext,4,3
patrickneubauer,XMLText,3,5
xtext,org.xtext.antlr.generator,2,11
boalang,xtext-ide,3,3
nittka,terminology,4,3
veraPDF,veraPDF-model-syntax,5,2
TypeFox,languageserver-example,4,7
Hellmy,plantuml-eclipse-xtext,2,7
stephanrauh,JSFLibraryGenerator,6,12
loonwerks,jkind-xtext,2,4
TatyPerson,Xtext2Sonar,3,2
TypeFox,xtext-vscode,2,4
svenefftinge,Xtext-Workshop-Development-Workspace,3,2
cdietrich,xtext-uml-example,2,4
cdietrich,xtext-maven-example,3,4
marklemay,tptpParser,2,8
borgar,xtexts,3,0
uqbar-project,xtext-tortuga-lang,2,4
dslmeinte,Xtext1-DSLs,1,8
applause,applause,24,98
LorenzoBettini,ecefrance2015-xtext-example,2,4
jcmm33,DirectXTextBlock,2,3
dhuebner,xtext-apidiff,3,0
appdev,XTextView,0,6
oehme,xtext-maven-example,2,3
SMadani,ThriftMDE,3,8
xtext,xtext-external-editors,0,14
itemis,xtext-generator-vscode,2,3
soluvas,ecommerce-sample,4,1
tianguanghui,xTextHandler-objc,3,0
meysholdt,xtext_stateful_lexer,2,2
holgerschill,XtextCon_Xcore_Maven,1,5
scottopell,vim-xtext,0,7
itemis,xtext-debug-example-no-xbase,2,1
TypeFox,Xtext-XMI,0,7
joergreichert,XtextPlayground,0,4
wuwen1030,XTExtension,1,6
fuinorg,org.fuin.dsl.cqrs,3,0
JanKoehnlein,EclipseCon2013_XtextTutorial,0,4
avaranovich,megal-xtext,2,0
fuinorg,org.fuin.dsl.ddd,1,10
arturboronat,xtext.domainmodel,2,1
otrosien,xtext-perl,2,0
cmendible,Hexa.xText,2,1
SciSpike,yaktor-dsl-xtext,2,1
andrearn,org.fornax.soa.xtextservicerepository,0,6
ujhelyiz,xtext-reflective,1,4
szarnekow,xtextcon-xbase-example,2,0
bsi-software,org.eclipse.scout.xtext,2,0
cdietrich,xtext-languageserver-xbase-example,2,0
test-editor,deprecated-test-editor-xtext,0,5
awk-kazmin,eclipse_1C_xtext,2,0
svenefftinge,fowlers-statemachine-with-expressions,4,8
copton,XTextExamples,0,2
GeekBugs,XTextView,0,2
akosyakov,org.xtext.example.mydsl.idea,2,0
vaulttec,isis-script,2,8
HBehrens,Xtext2Workshop,0,2
GrupoHunter,Kukuroo,2,0
itemis,xtext-languageserver-example-lsp4e,0,5
fatalerrortan,Xtext_Xtend_HTML_Generator,0,4
spoenemann,xtext-gef,1,3
Minres,RDL-Editor,0,11
svenefftinge,Guice-Modules-DSL,1,5
LorenzoBettini,jbase,1,11
mn-mikke,Model-driven-Pretty-Printer-for-Xtext-Framework,1,5
hishidama,xtext-dmdl-editor,0,3
cmark,androtext,1,7
svenefftinge,homeautomation-example,0,2
SOM-Research,graphQL-xtext-grammar,1,3
janesser,frege-xtext,0,2
szarnekow,org.eclipse.e4.xcss,0,3
LorenzoBettini,xtext-scoping,1,2
JanKoehnlein,ESE-2010-Tutorial,0,4
spoenemann,xtext-orion,0,2
Modaptix,xtext-expressions,1,2
nittka,Jtag,1,2
erlide,erlide_xtext,1,2
cdietrich,xtext-forum-support-example,0,2
ESIR2Compilation,Langage-WHILE,0,2
jhonatan89,gen-angular-grammar,1,2
Sofiane-13,tutorialXtextSirius,0,2
eclipse-soc,amalgamation-examples,1,3
dvdkruk,xtext-xsd-resourceprovider,0,2
marnix,metamath-eclipse-xtext,0,2
JanKoehnlein,Xtext-Syntax-View,0,2
planger,xtext-uml-experiment,0,2
rquinio,ck2xtext,0,2
mzaks,petrinet_dsl,1,2
drnappalm,xtext,0,0
svenefftinge,Xtext-Workshop-Runtime-Workspace,1,2
martijndwars,XtextXT,0,0
nahni,xtextTessla,0,0
baidty,xtextLearning,0,0
MoayadHn,XtextBDI,0,0
fzalila,XtextExperiments,0,0
Girish-Venkatesh,XTextSelenium,0,0
Vinayakatk,xtextScopes,0,0
01Lizard10,XTextUML,0,0
Salome-Maro,XtextUtils,0,0
fanghuixing,XtextApricot,0,0
mraminella,xtextTests,0,0
Alma2015RSABSAWA,XtextLangage,0,0
myorb,XTextParser,0,0
Jhinnn,XTextView,0,1
kathisai,xtextSample,0,0
huibo-shi,XtextExamples,0,1
osamu-k,XTextStudy,0,0
Treehopper,XTextTemplate,0,0
seba111,Xtext1,0,0
shinesamjacob,XtextExample,0,0
ajperalt,xtext,0,1
schakko,xtext-plugin-with-maven-tycho,1,2
colameo,xtext4roo,0,0
vinpereira,XtextToXMI,0,1
JanKoehnlein,XtextCon2014,0,0
bink81,xtext-test,0,0
xtext42,xtext42-coding,0,0
borisbrodski,XtextBug437519,0,0
hypery2k,xText,0,1
borisbrodski,XtextBug453268,0,0
arnulfo-rodriguez,XtextClosureExample,0,0
superxlx,XTextViewDemo,0,0
johnBened,XtextMyDSLExample,0,0
philiber92,XtextTestRepository,0,0
fabienfleureau,XtextAtStackoverflow,0,0
yunxiaocloud,XTextFieldLimtDemo,0,1
eclipse,xtext-gradle,1,0
Mensmec,THESIS_XTEXT,0,0
MacJariel,sandbox-dsl,0,3
chetanladdha,XtextFormatingHoverSample,0,0
ainslec,XTextCustomLexerExample,1,0
hem28,DSL_Xtext2.3,0,0
HBuender,XtextAndSiriusIntegration,0,1
meysholdt,EclipseCon2014_XtextTutorial,1,0
jaimedelgado,Xtext,0,1
chris125964,xtext,0,0
DonRenando,xtext,0,0
martijndwars,Xtext,0,0
ozkandemir,XText,0,0
johnahfong,xtext,0,0
Mensmec,Xtext,0,0
pellcorp,xtext,0,0
Tutti91,Xtext,0,0
ANCIT,xtext-examples,0,0
DECENTSoftwareAssessment,dag.m1x,0,0
rmemory,xtext,1,0
deb-sandeep,com.sandy.xtext.jovenotes.tests,0,0
yasuohosotani,Xtext,0,0
Nika24,Xtext,0,0
BenediktNiehues,de.nie.fin,0,0
AlexElvers,XText,1,0
lakzso,xtext,0,0
seba111,Xtext,0,0
MacJariel,xtext,0,1
tmtron,xtext.15minTutorial,0,1
blewis13,Boxes,0,0
DECENTSoftwareAssessment,famix.m3x,0,0
dslmeinte,SimScript,1,2
webdaford,aqleditor,0,0
goldschmiede,2012-02-03_dsls_mit_xtext,0,0
kthoms,org.eclipse.xtext.example.domainmodel,0,1
Reitzner,xtextmaven,0,0
hectorsun,xtextonboost,0,0
duck2,xtextbg,0,0
HolyCityAudio,SpinCAD-Builder,4,5
ceefour,glproto,0,2
DECENTSoftwareAssessment,dag.m1x.tests,0,0
gvd,xtext-sm,0,1
davidmpaz,php.ware.web.ui,0,0
DanielWeber,xtextext,0,1
fzalila,xtextfsm,0,0
DECENTSoftwareAssessment,dag.m1x.sdk,0,0
jgoppert,xmodelica,0,1
Vinayakatk,xtextgeneratetest,0,0
deb-sandeep,com.sandy.xtext.jovenotes,1,0
DECENTSoftwareAssessment,dag.m1x.ui,0,0
viatra,viatra-evm-xtext,0,0
protossoftware,ReqText,0,0
meysholdt,e4dsl,1,3
benzait27,Xtext.Promo,0,0
malakeel,myDsl,0,0
npalix,org.eclipse.xtext.example.arithmetics,0,0
sormgabriel,textual_verduler,0,0
ekowahyudi,examplextext,0,0
DECENTSoftwareAssessment,famix.m3x.ui,0,0
nakul02,sialx-xtext-ide,0,0
kduske-n4,DomainModel,0,0
Infoly,SmallJava,0,0
inakuhn,de.htwg.mdse.setgame.entities.parent,0,0
mlanoe,x-vhdl,0,2
DECENTSoftwareAssessment,famix.m3x.tests,0,0
nkonev,CalcXtext,0,0
meysholdt,xtext_examples,0,0
manuelleduc,xtext-lib,0,0
xarvey,atom-xtext-package,1,1
LolloCorte,bpel-xtext,0,0
sciolizer,xtext-sandbox,0,0
denschu,xtext-whitespace,0,1
pablitar,claseXtext,1,0
DECENTSoftwareAssessment,famix.m3x.sdk,0,0
tdegueul,xtext-composition,0,0
danieldietrich,xtext-javatools,0,0
akademia,ontouml-xtext,0,1
efuentesp,codebuilder-xtext,0,0
zrrk,xtext-utils,0,0
juli1,xtext-debug,0,0
nbhusare,Xtext-sandbox,0,0
jachinte,xtext-grammars,0,1
