owner,repo,average_difference
spoenemann,xtext-orion,0.0
Modaptix,xtext-expressions,-16.0
nittka,Jtag,-22.0
erlide,erlide_xtext,-519.0
cdietrich,xtext-forum-support-example,0
ESIR2Compilation,Langage-WHILE,-112.0
jhonatan89,gen-angular-grammar,-7.0
Sofiane-13,tutorialXtextSirius,0
eclipse-soc,amalgamation-examples,-2262.0
dvdkruk,xtext-xsd-resourceprovider,0
marnix,metamath-eclipse-xtext,-128.0
JanKoehnlein,Xtext-Syntax-View,0
planger,xtext-uml-experiment,0.0
rquinio,ck2xtext,-9.333333333333334
mzaks,petrinet_dsl,0.0
drnappalm,xtext,0.0
svenefftinge,Xtext-Workshop-Runtime-Workspace,0
martijndwars,XtextXT,0.0
nahni,xtextTessla,-0.5
baidty,xtextLearning,0.0
MoayadHn,XtextBDI,-24.0
fzalila,XtextExperiments,0.0
Girish-Venkatesh,XTextSelenium,0.0
Vinayakatk,xtextScopes,0.0
01Lizard10,XTextUML,-73.0
Salome-Maro,XtextUtils,0
fanghuixing,XtextApricot,0.0
mraminella,xtextTests,0
Alma2015RSABSAWA,XtextLangage,0
myorb,XTextParser,0
Jhinnn,XTextView,0
kathisai,xtextSample,-1.0
huibo-shi,XtextExamples,0.0
osamu-k,XTextStudy,0.0
Treehopper,XTextTemplate,-16.0
seba111,Xtext1,-47.0
shinesamjacob,XtextExample,0.0
ajperalt,xtext,-26.333333333333332
schakko,xtext-plugin-with-maven-tycho,0.0
colameo,xtext4roo,0.0
vinpereira,XtextToXMI,0.0
JanKoehnlein,XtextCon2014,0
bink81,xtext-test,0
xtext42,xtext42-coding,0
borisbrodski,XtextBug437519,-1.0
hypery2k,xText,0
borisbrodski,XtextBug453268,0.0
arnulfo-rodriguez,XtextClosureExample,-54.0
superxlx,XTextViewDemo,0
johnBened,XtextMyDSLExample,0
philiber92,XtextTestRepository,0.0
fabienfleureau,XtextAtStackoverflow,0
yunxiaocloud,XTextFieldLimtDemo,0
eclipse,xtext-gradle,0
Mensmec,THESIS_XTEXT,0
MacJariel,sandbox-dsl,-6.0
chetanladdha,XtextFormatingHoverSample,0
ainslec,XTextCustomLexerExample,-2.0
hem28,DSL_Xtext2.3,0.0
HBuender,XtextAndSiriusIntegration,0.0
meysholdt,EclipseCon2014_XtextTutorial,-15.75
jaimedelgado,Xtext,0
chris125964,xtext,0
DonRenando,xtext,0.0
martijndwars,Xtext,5.6
ozkandemir,XText,-21.5
johnahfong,xtext,-0.4
Mensmec,Xtext,0
pellcorp,xtext,-8.0
Tutti91,Xtext,0.0
ANCIT,xtext-examples,0.0
DECENTSoftwareAssessment,dag.m1x,-1.0
rmemory,xtext,-3.3333333333333335
deb-sandeep,com.sandy.xtext.jovenotes.tests,0
yasuohosotani,Xtext,0.0
Nika24,Xtext,0.0
BenediktNiehues,de.nie.fin,-129.5
AlexElvers,XText,0
lakzso,xtext,0.0
seba111,Xtext,-6.0
MacJariel,xtext,0.0
tmtron,xtext.15minTutorial,0.0
blewis13,Boxes,-1.0
DECENTSoftwareAssessment,famix.m3x,-506.0
dslmeinte,SimScript,-62.0
webdaford,aqleditor,0
goldschmiede,2012-02-03_dsls_mit_xtext,0.0
kthoms,org.eclipse.xtext.example.domainmodel,0.0
Reitzner,xtextmaven,0.0
hectorsun,xtextonboost,0
duck2,xtextbg,0
HolyCityAudio,SpinCAD-Builder,-128.0
ceefour,glproto,0.0
DECENTSoftwareAssessment,dag.m1x.tests,0
gvd,xtext-sm,-5.0
davidmpaz,php.ware.web.ui,0
DanielWeber,xtextext,0
fzalila,xtextfsm,0.0
DECENTSoftwareAssessment,dag.m1x.sdk,0
jgoppert,xmodelica,-105.0
Vinayakatk,xtextgeneratetest,0
deb-sandeep,com.sandy.xtext.jovenotes,-161.0
DECENTSoftwareAssessment,dag.m1x.ui,0
viatra,viatra-evm-xtext,0.0
protossoftware,ReqText,-21.0
meysholdt,e4dsl,-2.0
benzait27,Xtext.Promo,0.0
malakeel,myDsl,-83.5
npalix,org.eclipse.xtext.example.arithmetics,0.0
sormgabriel,textual_verduler,0
ekowahyudi,examplextext,0
DECENTSoftwareAssessment,famix.m3x.ui,0
nakul02,sialx-xtext-ide,0.0
kduske-n4,DomainModel,0.0
Infoly,SmallJava,0
inakuhn,de.htwg.mdse.setgame.entities.parent,-18.0
mlanoe,x-vhdl,-128.0
