Owner,Repo,Ecore File,Containing Folder
BlackBeltTechnology,karaf-features-eclipse-xtext,not applicable,not applicable
vashchenkov,xtext-samle,not applicable,not applicable
vashchenkov,xtext-samle,not applicable,not applicable
germono,FormXtext,oliv.form.xtext.dsl/model/generated/Dsl.ecore,generated
Quingo,compiler_xtext,not applicable,not applicable
Quingo,compiler_xtext,not applicable,not applicable
ShrawanBK,xtext_salestransaction,not applicable,not applicable
ShrawanBK,xtext_salestransaction,not applicable,not applicable
tshoang,XMarking,ac.soton.xmark.emf/model/feedback.ecore,model
tshoang,XMarking,ac.soton.xmark.emf/model/marking.ecore,model
tshoang,XMarking,ac.soton.xmark.emf/model/markingcore.ecore,model
szschaler,henshin_xtext_adapter,not applicable,not applicable
szschaler,henshin_xtext_adapter,not applicable,not applicable
hakimuga,BIP-language,not applicable,not applicable
hakimuga,BIP-language,not applicable,not applicable
adautofbn,pascal-xtext,edu.ufcg.compiladores.pascal/model/generated/Pascal.ecore,generated
efuentesp,Xtext-UCS,not applicable,not applicable
efuentesp,Xtext-UCS,not applicable,not applicable
preesm,ripacola-xtext,not applicable,not applicable
preesm,ripacola-xtext,not applicable,not applicable
wibeck,testXtext,org.xtext.example.mydsl/model/generated/MyDsl.ecore,generated
msun68,xtext-examples,org.example.rules/model/generated/Rules.ecore,generated
xTexturedxx,xTexturedxx,not applicable,not applicable
xTexturedxx,xTexturedxx,not applicable,not applicable
HexXText,HexXText,not applicable,not applicable
HexXText,HexXText,not applicable,not applicable
Gricel-lee,Xtext-Maven,not applicable,not applicable
Gricel-lee,Xtext-Maven,not applicable,not applicable
kolchanov,org.xtext.example.mydsl.parent,org.xtext.example.mydsl/model/generated/MyDsl.ecore,generated
kecksk0enig,vuc-xtext,de.grewe.vuc/model/generated/Mgpl.ecore,generated
EvdokimovMaks,xtext-expressions,not applicable,not applicable
EvdokimovMaks,xtext-expressions,not applicable,not applicable
Sorokatov,xtext-demo,not applicable,not applicable
Sorokatov,xtext-demo,not applicable,not applicable
uppaal-emf,uppaal-xtext,not applicable,not applicable
uppaal-emf,uppaal-xtext,not applicable,not applicable
matheuslenke,Xtext-UML,not applicable,not applicable
matheuslenke,Xtext-UML,not applicable,not applicable
r4mtor,xtext-talks,kurs.xtext.dataflow.parent/kurs.xtext.dataflow/model/generated/DataFlowDsl.ecore,generated
nbhusare,xtext-playground,org.eclipse.xtext.playground/org.eclipse.xtext.testing/org.xtext.example.modeldsl/model/generated/ModelDsl.ecore,generated
nbhusare,xtext-playground,org.eclipse.xtext.playground/org.eclipse.xtext.testing/org.xtext.example.uidsl/model/generated/UiDsl.ecore,generated
kokostino,xtext_kokomodel,not applicable,not applicable
kokostino,xtext_kokomodel,not applicable,not applicable
GiordanoT,ocl-xtext,org.xtext.ocl.parent/org.xtext.ocl/model/generated/Ocl.ecore,generated
dr-jam,ABL-XText,not applicable,not applicable
dr-jam,ABL-XText,not applicable,not applicable
lahirugayanga,xtext-projection,com.ifs.lang.projection/model/generated/ProjectionLang.ecore,generated
daniel614,xtext-webapp,org.xtext.example.wappm/model/generated/Wappm.ecore,generated
Spiderixius,DSLIndividualXtext,not applicable,not applicable
Spiderixius,DSLIndividualXtext,not applicable,not applicable
mdsd-team-1,photos-xtext,org.xtext.example.mydsl/model/generated/MyDsl.ecore,generated
efuentesp,xtext-cobol,not applicable,not applicable
efuentesp,xtext-cobol,not applicable,not applicable
torosky,Libreria-Xtext,not applicable,not applicable
torosky,Libreria-Xtext,not applicable,not applicable
MaxiEckert,Xtext-example,masterarbeit_workspace_xtext/de.uka.ipd.sdq.identifier/identifier.ecore,de.uka.ipd.sdq.identifier
MaxiEckert,Xtext-example,masterarbeit_workspace_xtext/de.uka.ipd.sdq.identifier/model/identifier.ecore,model
MaxiEckert,Xtext-example,masterarbeit_workspace_xtext/de.uka.ipd.sdq.probfunction/ProbabilityFunction.ecore,de.uka.ipd.sdq.probfunction
MaxiEckert,Xtext-example,masterarbeit_workspace_xtext/de.uka.ipd.sdq.probfunction/model/ProbabilityFunction.ecore,model
MaxiEckert,Xtext-example,masterarbeit_workspace_xtext/de.uka.ipd.sdq.stoex/model/stoex.ecore,model
MaxiEckert,Xtext-example,masterarbeit_workspace_xtext/de.uka.ipd.sdq.stoex/stoex.ecore,de.uka.ipd.sdq.stoex
