owner,repo,average_count_diff
bobbyfisher1,expressions,-11.50
lowcomote,DBML-to-ER,0.00
tfLabs,xtext-n4js-lsp,0.00
yishakabreham,mde.sales.transactions.xtext.4,0.00
Rajesh2015,DSL-using-Xtext-and-Xtend,0.00
cdietrich,xtext-lsp-tests-with-tycho,0.00
CarlosAsrc,Reconhecedor-scheme,0.00
oliver-reinhard,xtext-scoping-default-namespaces-demo,0.00
TVTower,TVTDatabaseEditor,0.00
casino-mdd,DSL,0.00
cokeSchlumpf,bashdsl,-5.00
sumeetchhetri,faugjs-eclipse-plugin,0.00
sderrien,Uclid-editor,26.00
GlancingMind,xtext-lsp-missing-deleteFile-impl,0.00
zmy3036190149,theia-xtext-pf-v1-backup,0.00
MDSDLab,mdsd-2023-lab2-xtext-xtend,0.00
abieren,MDSD-Xtext-Project-for-JavaFX,-1.00
SimonCockx,xtext-assertAllWhitespaceIsFormatted,0.00
tombk556,SF_Factories_Beleg2324_Xtext_DSL,0.00
DonatasC,CodeGeneration,0.00
trichterwolke,init,-1.00
zs6jce,x400-xrpgle,0.00
cyrilnavessamuel,TripManagment,0.00
paullewallencom,xtext-xtend-978-1-7864-6496-5,0.00
coalae,telemed,0.00
vorburger,xtend-StackOverflowError-issue461,0.00
JoaoMAlmeida,projetoCompiladores18-2,-1.00
Bisssen,math_assignment_3_math_compiler_xtext_and_xtend,0.00
vks2106,domain.model,0.00
metafacture,metafacture-flux,0.00
mrtnstn,example-script-language,0.00
Michel-Nassalang,eclipse_workspace,0.00
varadbal,FunPL,-9.00
oliverablagojevic,QuestionnaireDSL,0.00
EightPillars,NmtranEditor,-1.00
DSIE2,Implementing-observer-design-pattern-with-Xtext-and-Xtend,0.00
George-6629,Lobster-language-conversion-sql-language-based-on-Xtext,0.00
hvbargen,meth,0.00
mischnic,bachelors-thesis,0.00
cs130-w22,statemachine,0.00
cesarlaso,tfm-udima-arquitectura-del-software-dsl-ecore-xtext-emf,0.00
houssemradhouane,Meta-Modelisation-of-Games-Using-UML-Eclipse-Xtext-Acceleo-JAVA,0.00
mdsd-team-1,domain-specific-language,0.00
PalladioSimulator,Palladio-Editors-VSCode,0.00
nils-christian,xtend-active-annotation-issue,0.00
modicio,feature-dsl-tools,0.00
HBuender,Aim42Visualizer,0.00
scanyboss,ide-yourdsl,0.00
spirvdev,dumpsymb,0.00
thlaegler,edilang,-82.00
agonzalezgaliana,mydsl-language-server,0.00
codezork,DSL-Blog,0.00
LorenzoBettini,issue-2000-example,0.00
trifonnt,net.adempiere.dsl.properties.spring.parent,0.00
scanyboss,hello-world-language,0.00
joerg-holtmann,Pretty-Printer_Language-Analysis,0.00
coffeeframework,HLVL,-6.00
HermanPeeren,eJSL-MPS,0.00
kukulkan-project,kukulkan-language-server,0.00
mdsd-team-1,dsl-layered-style,0.00
larissafiorini,t2-lingProg,2.00
ragben,NetzDsl,0.00
Cosimo5lli,assertx-swing,-3.00
gyaltso,Eclipse-Training-Schedules,0.00
wzurborg,xtend-example,0.00
kyberszittya,simple-ros-code-generator,-1.00
LinguaPhylo,linguaPhyloDSL,0.00
dsanmartins,Entidades,0.00
opcoach,datasample,2.00
bujosa,smart-dsl,0.00
robinguill,DSL_UML_INSA,-2.00
DedalArmy,SpringDSLJava,0.00
LiamWalsh98,tumlrt-language-server,0.00
jonev,HTTP-REST-test-DSL,0.00
ElBilbao,DSL-Wizard-Creator,0.00
ooaa30,Wail,0.00
Wilson008,GrammarGenerator,0.00
ScytherTool,dsl,0.00
NaoMod,MiniTL,0.00
ryangarvey,mde-spec,0.00
bfMarcelino,SchemeLP,0.00
henriklange,ifcBrickConvert,0.00
osarenogae,fault_trees_textual_editor,0.00
claudenirmf,TPTP-Editor,0.00
augustin-rialan,IDM,0.00
henriklange,ifcBrickConvertDsl,0.00
PikaQin,XModel-Code-Converter,0.00
helloyaqin,XModel-Code-Converter,0.00
Garlo13,CEPStaticAnalysis,0.00
Frederic-Boulanger-UPS,MiniARM-feature,0.00
Jaddison011,C4EventB,-13.00
MDEGroup,metatemplating,-5.00
abdullah-4Mohammed,AWS-EC2-Service_DSL-EMF,0.00
grammeaway,math-interpreter-dsl,0.00
ahmedsaleh1998,concept_project,0.00
Chaimaa-Louahabi,Model-Driven-Engineering,0.00
fayssalElAnsari,Kotlin-Meta-Model,0.00
MisbahAwan,SeamlessRuntimeTransformations,0.00
ProjetoDSL,CanopusDesign,0.00
Ryuzaki101,Workbench,0.00
eclipse,xtext,-0.86
eclipse,xtext-core,-0.76
eclipse,xtext-xtend,-1.00
eclipse,xtext-eclipse,-0.88
eclipse,xtext-extras,-1.50
eclipse,xtext-web,-1.00
xtext,seven-languages-xtext,0.43
eclipse,xtext-maven,0.00
eclipse,xtext-lib,0.00
xtext,maven-xtext-example,0.00
seebk,LaTeXText,0.00
cdietrich,xtext-languageserver-example,0.00
eclipse,xtext-idea,0.00
adamschmideg,coffeescript-eclipse,0.33
RvonMassow,xDoc,0.00
xtext,xtext-gradle-plugin,0.00
LorenzoBettini,packtpub-xtext-book-2nd-examples,0.00
PrinceMei,xTextHandler,0.00
LorenzoBettini,packtpub-xtext-book-examples,-0.17
theia-ide,theia-xtext,0.00
svenefftinge,xtext-lsp-workshop,0.00
ObeoNetwork,Xtext-Sirius-integration,0.00
dslmeinte,Xtext2-DSLs,1.38
merks,Xcore,0.00
ssi-schaefer,lcdsl,0.00
eclipse,xtext-umbrella,0.00
danieldietrich,xtext-protected-regions,0.00
xtext,xtend-gradle-plugin,0.00
aphethean,xtext-maven-examples,-1.00
ckulla,xtext-tycho-example,-1.00
vorburger,xtext-sandbox,0.00
basilfx,xtext-standalone-maven-build,0.00
JakeGinnivan,XText,0.00
OLibutzki,xtext.tools,0.00
Xpitfire,xtext-dnn,-1.00
LorenzoBettini,Xtext2-experiments,0.00
eclipse,xsemantics,0.00
xtext,xtext-reference-projects,-0.01
mzaks,FlatBuffersSchemaEditor,-1.00
vorburger,eLang,0.00
fuinorg,emt-xtext-archetype,0.00
eclipse-soc,amalgamation-examples-xtext,1.00
kthoms,xtext-experimental,0.00
dsldevkit,dsl-devkit,-2.53
itemis,generator-xtext,0.00
att,yang-design-studio,0.00
martinbaker,xtextadd,-0.33
LorenzoBettini,edelta,0.00
sebastianbenz,xgherkin,0.00
vladdu,xtext.unittesting,2.00
slizaa,slizaa-opencypher-xtext,0.00
xpomul,cdo-xtext,0.00
mark-christiaens,Xtext-Models-Stats-View,0.00
TypeFox,xtext-jflex,0.00
vorburger,eclipse-typescript-xtext,-1.00
patrickneubauer,XMLText,0.00
xtext,org.xtext.antlr.generator,0.00
boalang,xtext-ide,-1.00
nittka,terminology,-2.00
veraPDF,veraPDF-model-syntax,0.00
TypeFox,languageserver-example,0.00
Hellmy,plantuml-eclipse-xtext,-1.00
stephanrauh,JSFLibraryGenerator,0.00
loonwerks,jkind-xtext,-2.00
TatyPerson,Xtext2Sonar,0.00
TypeFox,xtext-vscode,0.00
svenefftinge,Xtext-Workshop-Development-Workspace,-3.00
cdietrich,xtext-uml-example,0.00
cdietrich,xtext-maven-example,0.00
marklemay,tptpParser,0.00
borgar,xtexts,0.00
uqbar-project,xtext-tortuga-lang,0.00
dslmeinte,Xtext1-DSLs,-0.85
applause,applause,-2.00
LorenzoBettini,ecefrance2015-xtext-example,0.00
jcmm33,DirectXTextBlock,0.00
dhuebner,xtext-apidiff,0.00
appdev,XTextView,0.00
oehme,xtext-maven-example,0.00
SMadani,ThriftMDE,0.00
xtext,xtext-external-editors,0.00
itemis,xtext-generator-vscode,0.00
soluvas,ecommerce-sample,0.00
tianguanghui,xTextHandler-objc,0.00
meysholdt,xtext_stateful_lexer,0.00
holgerschill,XtextCon_Xcore_Maven,0.00
scottopell,vim-xtext,0.00
itemis,xtext-debug-example-no-xbase,0.00
TypeFox,Xtext-XMI,0.00
joergreichert,XtextPlayground,0.00
wuwen1030,XTExtension,0.00
fuinorg,org.fuin.dsl.cqrs,-1.00
JanKoehnlein,EclipseCon2013_XtextTutorial,0.00
avaranovich,megal-xtext,-1.00
fuinorg,org.fuin.dsl.ddd,1.00
arturboronat,xtext.domainmodel,0.00
otrosien,xtext-perl,-1.00
cmendible,Hexa.xText,0.00
SciSpike,yaktor-dsl-xtext,-1.50
andrearn,org.fornax.soa.xtextservicerepository,-0.20
ujhelyiz,xtext-reflective,0.00
szarnekow,xtextcon-xbase-example,0.00
bsi-software,org.eclipse.scout.xtext,0.00
cdietrich,xtext-languageserver-xbase-example,0.00
test-editor,deprecated-test-editor-xtext,-1.00
awk-kazmin,eclipse_1C_xtext,0.00
svenefftinge,fowlers-statemachine-with-expressions,0.00
copton,XTextExamples,0.00
GeekBugs,XTextView,0.00
akosyakov,org.xtext.example.mydsl.idea,-2.33
vaulttec,isis-script,-1.00
HBehrens,Xtext2Workshop,0.00
GrupoHunter,Kukuroo,0.00
itemis,xtext-languageserver-example-lsp4e,0.00
fatalerrortan,Xtext_Xtend_HTML_Generator,0.00
spoenemann,xtext-gef,1.00
Minres,RDL-Editor,0.00
svenefftinge,Guice-Modules-DSL,0.00
LorenzoBettini,jbase,0.00
mn-mikke,Model-driven-Pretty-Printer-for-Xtext-Framework,0.00
hishidama,xtext-dmdl-editor,0.00
cmark,androtext,61.00
svenefftinge,homeautomation-example,0.00
SOM-Research,graphQL-xtext-grammar,0.00
janesser,frege-xtext,-15.00
szarnekow,org.eclipse.e4.xcss,0.00
LorenzoBettini,xtext-scoping,-1.00
JanKoehnlein,ESE-2010-Tutorial,1.00
spoenemann,xtext-orion,0.00
Modaptix,xtext-expressions,-2.00
nittka,Jtag,-2.00
erlide,erlide_xtext,-4.00
cdietrich,xtext-forum-support-example,0.00
ESIR2Compilation,Langage-WHILE,0.00
jhonatan89,gen-angular-grammar,-3.00
Sofiane-13,tutorialXtextSirius,0.00
eclipse-soc,amalgamation-examples,0.00
dvdkruk,xtext-xsd-resourceprovider,0.00
marnix,metamath-eclipse-xtext,-1.00
JanKoehnlein,Xtext-Syntax-View,0.00
planger,xtext-uml-experiment,0.00
rquinio,ck2xtext,-1.00
mzaks,petrinet_dsl,0.00
drnappalm,xtext,0.00
svenefftinge,Xtext-Workshop-Runtime-Workspace,0.00
martijndwars,XtextXT,0.00
nahni,xtextTessla,0.00
baidty,xtextLearning,0.00
MoayadHn,XtextBDI,0.00
fzalila,XtextExperiments,0.00
Girish-Venkatesh,XTextSelenium,0.00
Vinayakatk,xtextScopes,0.00
01Lizard10,XTextUML,0.00
Salome-Maro,XtextUtils,0.00
fanghuixing,XtextApricot,0.00
mraminella,xtextTests,0.00
Alma2015RSABSAWA,XtextLangage,0.00
myorb,XTextParser,0.00
Jhinnn,XTextView,0.00
kathisai,xtextSample,-4.00
huibo-shi,XtextExamples,0.00
osamu-k,XTextStudy,0.00
Treehopper,XTextTemplate,0.00
seba111,Xtext1,0.00
shinesamjacob,XtextExample,0.00
ajperalt,xtext,-0.33
schakko,xtext-plugin-with-maven-tycho,0.00
colameo,xtext4roo,0.00
vinpereira,XtextToXMI,0.00
JanKoehnlein,XtextCon2014,0.00
bink81,xtext-test,0.00
xtext42,xtext42-coding,0.00
borisbrodski,XtextBug437519,0.00
hypery2k,xText,0.00
borisbrodski,XtextBug453268,0.00
arnulfo-rodriguez,XtextClosureExample,0.00
superxlx,XTextViewDemo,0.00
johnBened,XtextMyDSLExample,0.00
philiber92,XtextTestRepository,0.00
fabienfleureau,XtextAtStackoverflow,0.00
yunxiaocloud,XTextFieldLimtDemo,0.00
eclipse,xtext-gradle,0.00
Mensmec,THESIS_XTEXT,0.00
MacJariel,sandbox-dsl,0.00
chetanladdha,XtextFormatingHoverSample,0.00
ainslec,XTextCustomLexerExample,0.00
hem28,DSL_Xtext2.3,0.00
HBuender,XtextAndSiriusIntegration,0.00
meysholdt,EclipseCon2014_XtextTutorial,0.00
jaimedelgado,Xtext,0.00
chris125964,xtext,0.00
DonRenando,xtext,0.00
martijndwars,Xtext,0.00
ozkandemir,XText,0.00
johnahfong,xtext,0.00
Mensmec,Xtext,0.00
pellcorp,xtext,0.00
Tutti91,Xtext,0.00
ANCIT,xtext-examples,0.00
DECENTSoftwareAssessment,dag.m1x,0.00
rmemory,xtext,0.00
deb-sandeep,com.sandy.xtext.jovenotes.tests,0.00
yasuohosotani,Xtext,0.00
Nika24,Xtext,0.00
BenediktNiehues,de.nie.fin,-1.00
AlexElvers,XText,0.00
lakzso,xtext,0.00
seba111,Xtext,0.00
MacJariel,xtext,0.00
tmtron,xtext.15minTutorial,0.00
blewis13,Boxes,0.00
DECENTSoftwareAssessment,famix.m3x,0.00
dslmeinte,SimScript,0.17
webdaford,aqleditor,0.00
goldschmiede,2012-02-03_dsls_mit_xtext,0.00
kthoms,org.eclipse.xtext.example.domainmodel,0.00
Reitzner,xtextmaven,0.00
hectorsun,xtextonboost,0.00
duck2,xtextbg,0.00
HolyCityAudio,SpinCAD-Builder,-17.67
ceefour,glproto,0.00
DECENTSoftwareAssessment,dag.m1x.tests,0.00
gvd,xtext-sm,-2.00
davidmpaz,php.ware.web.ui,0.00
DanielWeber,xtextext,0.00
fzalila,xtextfsm,0.00
DECENTSoftwareAssessment,dag.m1x.sdk,0.00
jgoppert,xmodelica,-1.00
Vinayakatk,xtextgeneratetest,0.00
deb-sandeep,com.sandy.xtext.jovenotes,-1.00
DECENTSoftwareAssessment,dag.m1x.ui,0.00
viatra,viatra-evm-xtext,0.00
protossoftware,ReqText,-1.00
meysholdt,e4dsl,1.00
benzait27,Xtext.Promo,0.00
malakeel,myDsl,-0.50
npalix,org.eclipse.xtext.example.arithmetics,0.00
sormgabriel,textual_verduler,0.00
ekowahyudi,examplextext,0.00
DECENTSoftwareAssessment,famix.m3x.ui,0.00
nakul02,sialx-xtext-ide,0.00
kduske-n4,DomainModel,0.00
Infoly,SmallJava,0.00
inakuhn,de.htwg.mdse.setgame.entities.parent,-1.00
mlanoe,x-vhdl,0.00
DECENTSoftwareAssessment,famix.m3x.tests,0.00
nkonev,CalcXtext,0.00
meysholdt,xtext_examples,0.00
manuelleduc,xtext-lib,0.00
xarvey,atom-xtext-package,0.00
LolloCorte,bpel-xtext,0.00
sciolizer,xtext-sandbox,-5.00
denschu,xtext-whitespace,0.00
pablitar,claseXtext,0.00
DECENTSoftwareAssessment,famix.m3x.sdk,0.00
tdegueul,xtext-composition,0.00
danieldietrich,xtext-javatools,0.00
akademia,ontouml-xtext,0.00
