owner,repo,repo_first_commit,repo_last_commit,xtext_first_commit,xtext_last_commit,repo_commit_duration,xtext_commit_duration,proportion
blue995,xtext-orm,6/20/2018 19:29,6/23/2018 14:40,6/20/2018 19:29,6/23/2018 14:11,2,2,100
arockiaraj1994,xtext-mvn,9/5/2019 10:33,9/5/2019 10:33,9/5/2019 10:33,9/5/2019 10:33,0,0,0
moein9,passXtext,0,0,0,0,0,0,0
saivarunr,xtext-editor,0,0,0,0,0,0,0
JesterOrNot,xtext-cli,0,0,0,0,0,0,0
Somiacao,xtext-web,12/29/2019 18:20,1/3/2020 15:44,1/3/2020 15:44,1/3/2020 15:44,4,0,0
katmatt,graphql-xtext,11/2/2020 12:56,11/4/2020 18:43,11/2/2020 12:56,11/4/2020 18:43,2,2,100
LIONant-depot,xtexture_compiler,0,0,0,0,0,0,0
tchebs,xtext-example,0,0,0,0,0,0,0
ballcoach12,xtext_samples,0,0,0,0,0,0,0
AssaX0,MDSE-xtext,6/6/2021 13:52,6/6/2021 14:08,6/6/2021 14:07,6/6/2021 14:07,0,0,0
samples-projects,sample-xtext,2/4/2019 0:24,2/4/2019 0:29,2/4/2019 0:29,2/4/2019 0:29,0,0,0
karthik137,xtext-demo,5/13/2020 17:12,5/13/2020 17:12,5/13/2020 17:12,5/13/2020 17:12,0,0,0
MDE-Course-23-24,SIRIUS-XTEXT,12/13/2023 15:22,12/13/2023 15:22,12/13/2023 15:22,12/13/2023 15:22,0,0,0
softlang,megal-xtext,6/7/2014 9:17,4/18/2018 16:41,10/25/2014 19:25,1/24/2017 10:26,1411,821,58.19
laurocesar,xtext-domainmodel,5/14/2021 16:03,5/14/2021 16:03,5/14/2021 16:03,5/14/2021 16:03,0,0,0
Yahaya12,Xtext-project,0,0,0,0,0,0,0
malhxr,SpeechXtext,0,0,0,0,0,0,0
stanimirovv,xtext-extractor,0,0,0,0,0,0,0
3m3k3,xtext-congen,4/9/2023 23:45,4/9/2023 23:45,4/9/2023 23:45,4/9/2023 23:45,0,0,0
pen-zhang,xtext_elm_editor,0,0,0,0,0,0,0
NSaitoNmiri,toppers_cfg_xtext,5/24/2019 17:35,6/5/2019 18:32,5/26/2019 13:13,6/5/2019 15:45,12,10,83.33
tmtron,ex.xtext.twog,1/27/2018 13:49,2/12/2018 15:20,1/27/2018 14:01,2/11/2018 14:49,16,15,93.75
vinicius0197,metacrysl,5/27/2020 12:07,6/2/2020 9:38,5/27/2020 12:07,6/2/2020 9:38,5,5,100
Dexels,navascript-editor,2/5/2021 11:47,11/12/2022 21:34,2/5/2021 11:48,11/12/2022 21:32,645,645,100
adrianrutle,PCS953-EMF-Exercise,0,0,0,0,0,0,0
ravornyo,xspice,3/13/2022 13:48,3/13/2022 14:49,3/13/2022 13:48,3/13/2022 13:48,0,0,0
