Owner Login,Repository Name,Repository URL
SimonCockx,xtext-assertAllWhitespaceIsFormatted,https://github.com/SimonCockx/xtext-assertAllWhitespaceIsFormatted
tombk556,SF_Factories_Beleg2324_Xtext_DSL,https://github.com/tombk556/SF_Factories_Beleg2324_Xtext_DSL
DonatasC,CodeGeneration,https://github.com/DonatasC/CodeGeneration
trichterwolke,init,https://github.com/trichterwolke/init
zs6jce,x400-xrpgle,https://github.com/zs6jce/x400-xrpgle
cyrilnavessamuel,TripManagment,https://github.com/cyrilnavessamuel/TripManagment
paullewallencom,xtext-xtend-978-1-7864-6496-5,https://github.com/paullewallencom/xtext-xtend-978-1-7864-6496-5
coalae,telemed,https://github.com/coalae/telemed
vorburger,xtend-StackOverflowError-issue461,https://github.com/vorburger/xtend-StackOverflowError-issue461
JoaoMAlmeida,projetoCompiladores18-2,https://github.com/JoaoMAlmeida/projetoCompiladores18-2
Bisssen,math_assignment_3_math_compiler_xtext_and_xtend,https://github.com/Bisssen/math_assignment_3_math_compiler_xtext_and_xtend
