Owner,Repo,Ecore File Count
MISO4202,xtext-egl-sql2java,1
cdietrich,simple-xtext-parallel-load-example,0
bobbyfisher1,expressions,2
lowcomote,DBML-to-ER,0
tfLabs,xtext-n4js-lsp,0
yishakabreham,mde.sales.transactions.xtext.4,1
Rajesh2015,DSL-using-Xtext-and-Xtend,1
cdietrich,xtext-lsp-tests-with-tycho,0
CarlosAsrc,Reconhecedor-scheme,1
oliver-reinhard,xtext-scoping-default-namespaces-demo,1
TVTower,TVTDatabaseEditor,0
casino-mdd,DSL,1
cokeSchlumpf,bashdsl,1
sumeetchhetri,faugjs-eclipse-plugin,1
sderrien,Uclid-editor,0
GlancingMind,xtext-lsp-missing-deleteFile-impl,0
zmy3036190149,theia-xtext-pf-v1-backup,1
MDSDLab,mdsd-2023-lab2-xtext-xtend,0
abieren,MDSD-Xtext-Project-for-JavaFX,1
SimonCockx,xtext-assertAllWhitespaceIsFormatted,0
tombk556,SF_Factories_Beleg2324_Xtext_DSL,0
DonatasC,CodeGeneration,0
trichterwolke,init,0
zs6jce,x400-xrpgle,0
cyrilnavessamuel,TripManagment,1
paullewallencom,xtext-xtend-978-1-7864-6496-5,0
coalae,telemed,2
vorburger,xtend-StackOverflowError-issue461,0
JoaoMAlmeida,projetoCompiladores18-2,0
Bisssen,math_assignment_3_math_compiler_xtext_and_xtend,0
vks2106,domain.model,1
metafacture,metafacture-flux,0
mrtnstn,example-script-language,0
Michel-Nassalang,eclipse_workspace,0
varadbal,FunPL,1
oliverablagojevic,QuestionnaireDSL,1
EightPillars,NmtranEditor,1
DSIE2,Implementing-observer-design-pattern-with-Xtext-and-Xtend,1
George-6629,Lobster-language-conversion-sql-language-based-on-Xtext,1
hvbargen,meth,0
mischnic,bachelors-thesis,0
cs130-w22,statemachine,0
cesarlaso,tfm-udima-arquitectura-del-software-dsl-ecore-xtext-emf,18
houssemradhouane,Meta-Modelisation-of-Games-Using-UML-Eclipse-Xtext-Acceleo-JAVA,0
mdsd-team-1,domain-specific-language,1
PalladioSimulator,Palladio-Editors-VSCode,0
nils-christian,xtend-active-annotation-issue,0
modicio,feature-dsl-tools,0
HBuender,Aim42Visualizer,0
scanyboss,ide-yourdsl,0
spirvdev,dumpsymb,0
thlaegler,edilang,0
agonzalezgaliana,mydsl-language-server,0
codezork,DSL-Blog,0
LorenzoBettini,issue-2000-example,0
trifonnt,net.adempiere.dsl.properties.spring.parent,1
scanyboss,hello-world-language,0
joerg-holtmann,Pretty-Printer_Language-Analysis,0
coffeeframework,HLVL,0
HermanPeeren,eJSL-MPS,0
kukulkan-project,kukulkan-language-server,1
mdsd-team-1,dsl-layered-style,0
larissafiorini,t2-lingProg,1
ragben,NetzDsl,0
Cosimo5lli,assertx-swing,1
gyaltso,Eclipse-Training-Schedules,0
wzurborg,xtend-example,0
kyberszittya,simple-ros-code-generator,2
LinguaPhylo,linguaPhyloDSL,0
dsanmartins,Entidades,0
opcoach,datasample,1
bujosa,smart-dsl,0
robinguill,DSL_UML_INSA,0
DedalArmy,SpringDSLJava,0
LiamWalsh98,tumlrt-language-server,0
jonev,HTTP-REST-test-DSL,1
ElBilbao,DSL-Wizard-Creator,1
ooaa30,Wail,1
Wilson008,GrammarGenerator,0
ScytherTool,dsl,1
NaoMod,MiniTL,0
ryangarvey,mde-spec,1
bfMarcelino,SchemeLP,1
henriklange,ifcBrickConvert,0
osarenogae,fault_trees_textual_editor,0
claudenirmf,TPTP-Editor,1
augustin-rialan,IDM,1
henriklange,ifcBrickConvertDsl,1
PikaQin,XModel-Code-Converter,1
helloyaqin,XModel-Code-Converter,1
Garlo13,CEPStaticAnalysis,1
Frederic-Boulanger-UPS,MiniARM-feature,0
Jaddison011,C4EventB,0
MDEGroup,metatemplating,5
abdullah-4Mohammed,AWS-EC2-Service_DSL-EMF,0
grammeaway,math-interpreter-dsl,0
ahmedsaleh1998,concept_project,0
Chaimaa-Louahabi,Model-Driven-Engineering,0
fayssalElAnsari,Kotlin-Meta-Model,0
MisbahAwan,SeamlessRuntimeTransformations,0
ProjetoDSL,CanopusDesign,0
Ryuzaki101,Workbench,0
eclipse,xtext,0
eclipse,xtext-core,132
eclipse,xtext-xtend,2
eclipse,xtext-eclipse,61
eclipse,xtext-extras,25
eclipse,xtext-web,2
xtext,seven-languages-xtext,7
eclipse,xtext-maven,0
eclipse,xtext-lib,0
xtext,maven-xtext-example,0
seebk,LaTeXText,0
cdietrich,xtext-languageserver-example,0
eclipse,xtext-idea,0
adamschmideg,coffeescript-eclipse,0
RvonMassow,xDoc,2
xtext,xtext-gradle-plugin,0
LorenzoBettini,packtpub-xtext-book-2nd-examples,2
PrinceMei,xTextHandler,0
LorenzoBettini,packtpub-xtext-book-examples,6
theia-ide,theia-xtext,1
svenefftinge,xtext-lsp-workshop,1
ObeoNetwork,Xtext-Sirius-integration,1
dslmeinte,Xtext2-DSLs,0
merks,Xcore,1
ssi-schaefer,lcdsl,1
eclipse,xtext-umbrella,0
danieldietrich,xtext-protected-regions,0
xtext,xtend-gradle-plugin,0
aphethean,xtext-maven-examples,0
ckulla,xtext-tycho-example,0
vorburger,xtext-sandbox,5
basilfx,xtext-standalone-maven-build,1
JakeGinnivan,XText,0
OLibutzki,xtext.tools,0
Xpitfire,xtext-dnn,0
LorenzoBettini,Xtext2-experiments,4
eclipse,xsemantics,1
xtext,xtext-reference-projects,0
mzaks,FlatBuffersSchemaEditor,1
vorburger,eLang,0
fuinorg,emt-xtext-archetype,0
eclipse-soc,amalgamation-examples-xtext,0
kthoms,xtext-experimental,0
dsldevkit,dsl-devkit,14
itemis,generator-xtext,0
att,yang-design-studio,3
martinbaker,xtextadd,5
LorenzoBettini,edelta,304
sebastianbenz,xgherkin,1
vladdu,xtext.unittesting,1
slizaa,slizaa-opencypher-xtext,0
xpomul,cdo-xtext,1
